gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
2,0.185053,0.140349,0.148501,0.156571,0.319595
2,0.185397,0.140987,0.162314,0.170457,0.336908
2,0.185361,0.142816,0.170978,0.182661,0.337999
2,0.185367,0.144865,0.177235,0.190178,0.338145
2,0.185694,0.146467,0.181391,0.193538,0.338665
2,0.186064,0.147430,0.183648,0.196037,0.340859
2,0.186230,0.147806,0.184543,0.196775,0.342286
2,0.186290,0.147969,0.184984,0.197385,0.342453
2,0.186370,0.148018,0.185210,0.197095,0.343421
2,0.186453,0.148139,0.185639,0.197601,0.345119
2,0.186425,0.148187,0.185912,0.197942,0.346139
2,0.186296,0.148167,0.185979,0.197674,0.347045
2,0.186033,0.147931,0.185498,0.197222,0.347357
2,0.185851,0.147771,0.185325,0.196929,0.348026
2,0.185527,0.147411,0.185198,0.196300,0.348507
2,0.185153,0.147123,0.185130,0.196012,0.348632
2,0.184993,0.147102,0.185285,0.196078,0.348138
2,0.184983,0.147172,0.185923,0.196249,0.347895
2,0.185094,0.147289,0.186560,0.196653,0.347299
2,0.185189,0.147363,0.186992,0.197042,0.347178
2,0.185240,0.147368,0.187150,0.197304,0.347398
2,0.185390,0.147233,0.187124,0.197208,0.347699
2,0.185548,0.146942,0.187127,0.197152,0.348139
2,0.185736,0.146594,0.187073,0.197069,0.348285
2,0.185883,0.146295,0.186989,0.197015,0.348236
2,0.186017,0.146195,0.187137,0.197335,0.347872
2,0.186038,0.145899,0.187125,0.197725,0.347027
2,0.186191,0.145709,0.186812,0.197538,0.346566
2,0.186575,0.145764,0.186778,0.197683,0.345627
2,0.186719,0.145680,0.186351,0.197188,0.344726
2,0.186672,0.145562,0.185651,0.196772,0.343515
2,0.186812,0.145582,0.185686,0.197178,0.343327
2,0.187063,0.145724,0.185872,0.197562,0.342594
2,0.187232,0.145846,0.186072,0.197952,0.341805
2,0.187538,0.145924,0.186485,0.198288,0.341008
2,0.187620,0.145959,0.186550,0.198415,0.340461
2,0.188314,0.146317,0.188428,0.199362,0.342873
2,0.188932,0.146853,0.190272,0.200686,0.345017
2,0.189516,0.147112,0.192213,0.202319,0.349097
2,0.189657,0.147130,0.193256,0.203400,0.351499
2,0.190181,0.146883,0.194343,0.204275,0.355968
2,0.191554,0.146994,0.197340,0.205683,0.360064
2,0.192624,0.147414,0.200362,0.208059,0.362648
2,0.193586,0.147474,0.200702,0.207273,0.365302
2,0.194928,0.147161,0.201142,0.206903,0.367821
2,0.195663,0.147115,0.202099,0.207114,0.369039
2,0.196223,0.146922,0.202856,0.206744,0.369392
2,0.195991,0.146173,0.200343,0.203414,0.370790
2,0.195699,0.146039,0.199705,0.204365,0.370207
2,0.195667,0.145782,0.199558,0.205460,0.370151
2,0.197141,0.145408,0.200812,0.205786,0.372696
2,0.198956,0.144469,0.199675,0.203616,0.377018
2,0.202351,0.144359,0.201005,0.203136,0.385454
2,0.204768,0.143333,0.200169,0.198652,0.389933
2,0.208717,0.141983,0.197166,0.195277,0.392544
2,0.215056,0.141511,0.195951,0.193032,0.396829
2,0.218431,0.141077,0.195303,0.189574,0.401002
2,0.221755,0.139797,0.192568,0.185554,0.403600
2,0.224516,0.139113,0.191153,0.182993,0.405944
2,0.226427,0.138316,0.190737,0.181165,0.409750
2,0.228132,0.137679,0.189929,0.179380,0.411480
2,0.230182,0.137381,0.189861,0.177687,0.414913
2,0.231587,0.136399,0.188045,0.175699,0.416082
2,0.233766,0.136330,0.187427,0.175287,0.417104
2,0.235931,0.136202,0.186406,0.174596,0.418472
2,0.237160,0.135763,0.185195,0.173164,0.419107
2,0.238958,0.135709,0.184922,0.172523,0.420200
2,0.240601,0.135473,0.184103,0.172149,0.420362
2,0.241347,0.135420,0.183557,0.171598,0.420360
2,0.242791,0.135859,0.183488,0.171646,0.420631
2,0.244232,0.136110,0.183636,0.171002,0.420825
2,0.245398,0.136617,0.184187,0.171704,0.421133
2,0.246678,0.137562,0.184825,0.173017,0.420415
2,0.247667,0.138250,0.185538,0.174536,0.419989
2,0.247991,0.139124,0.186726,0.176407,0.420004
2,0.248673,0.139880,0.187200,0.177752,0.419697
2,0.248008,0.140378,0.187884,0.178154,0.419203
2,0.246763,0.140832,0.188377,0.178940,0.418051
2,0.244805,0.141616,0.188754,0.179308,0.417101
2,0.242514,0.142078,0.189248,0.180039,0.415929
2,0.241001,0.142744,0.189605,0.180150,0.415013
2,0.239254,0.143684,0.190987,0.181262,0.413168
2,0.237032,0.144558,0.191600,0.181674,0.413044
2,0.232327,0.145238,0.192445,0.182833,0.411334
2,0.228422,0.147324,0.195287,0.185074,0.408683
2,0.220918,0.149504,0.194316,0.185940,0.402591
2,0.218392,0.149744,0.193052,0.185817,0.396818
2,0.214989,0.150522,0.192088,0.186914,0.391045
2,0.212237,0.151946,0.190964,0.186152,0.383168
2,0.209808,0.152678,0.189884,0.185516,0.373574
2,0.207676,0.156319,0.190395,0.189887,0.357356
2,0.208921,0.160849,0.198047,0.198864,0.351605
2,0.209879,0.164499,0.203393,0.205613,0.340174
2,0.208579,0.168810,0.209828,0.215010,0.331106
2,0.208556,0.170800,0.212610,0.217761,0.321496
2,0.209114,0.171536,0.213030,0.217802,0.310817
2,0.209001,0.172153,0.212817,0.217406,0.304113
2,0.209136,0.171525,0.208610,0.213255,0.296146
2,0.208891,0.171021,0.204851,0.209476,0.290092
2,0.208567,0.170154,0.201624,0.205497,0.284677
2,0.208085,0.168738,0.197610,0.201404,0.279836
2,0.208095,0.165152,0.189990,0.194486,0.273741
2,0.207367,0.159836,0.179677,0.182862,0.263432
2,0.207344,0.154523,0.169435,0.171297,0.253296
2,0.206627,0.149502,0.159239,0.159733,0.241533
2,0.205746,0.144443,0.150110,0.149667,0.234857
2,0.205835,0.140800,0.142801,0.140794,0.228018
2,0.206483,0.136048,0.135310,0.132485,0.225782
2,0.206728,0.131908,0.129366,0.126458,0.226354
2,0.207829,0.129798,0.126849,0.121622,0.231771
2,0.209075,0.127687,0.125060,0.118578,0.240248
2,0.209781,0.127079,0.125660,0.117498,0.253829
2,0.209715,0.127074,0.126588,0.116732,0.266946
2,0.211145,0.127408,0.128056,0.118229,0.282233
2,0.212313,0.129512,0.131421,0.120892,0.302967
2,0.213435,0.131423,0.135345,0.126198,0.323752
2,0.213662,0.133162,0.138542,0.129255,0.334374
2,0.213451,0.134890,0.142956,0.133181,0.347198
2,0.213936,0.136194,0.149182,0.138908,0.361623
2,0.213181,0.136572,0.154968,0.143846,0.374933
2,0.213322,0.137056,0.159642,0.147031,0.384289
2,0.214177,0.137058,0.163183,0.151082,0.390762
