gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
9,0.298417,0.468308,0.503788,0.431812,0.430537
9,0.289721,0.472526,0.503073,0.418804,0.431426
9,0.290376,0.474009,0.502323,0.410372,0.431203
9,0.293051,0.473421,0.500358,0.402514,0.430136
9,0.294121,0.472987,0.499159,0.396045,0.429685
9,0.294367,0.472303,0.498171,0.391550,0.428930
9,0.295408,0.471625,0.497367,0.385945,0.428486
9,0.295619,0.469933,0.496217,0.381826,0.427906
9,0.295719,0.467618,0.495169,0.379066,0.427306
9,0.296378,0.466703,0.494165,0.376831,0.426888
9,0.294814,0.466199,0.493398,0.374755,0.426383
9,0.292895,0.465385,0.492437,0.372361,0.425800
9,0.293198,0.465714,0.491581,0.370141,0.425398
9,0.292786,0.465884,0.490920,0.367699,0.424899
9,0.292137,0.466216,0.489968,0.365935,0.424589
9,0.292214,0.466493,0.489036,0.363629,0.424037
9,0.291087,0.466049,0.488121,0.362187,0.423656
9,0.290302,0.464925,0.487119,0.360112,0.423048
9,0.289247,0.464969,0.486711,0.360021,0.422881
9,0.287753,0.465755,0.486276,0.359433,0.422685
9,0.286464,0.465618,0.485625,0.358737,0.422437
9,0.285864,0.466095,0.485096,0.357033,0.422252
9,0.284799,0.465198,0.484265,0.356159,0.422072
9,0.284344,0.465813,0.483958,0.355710,0.422094
9,0.284015,0.465376,0.483575,0.355598,0.422076
9,0.283670,0.464632,0.483293,0.355151,0.421845
9,0.283106,0.464472,0.483112,0.354868,0.421724
9,0.282623,0.464602,0.483148,0.354949,0.421697
9,0.282280,0.464703,0.483317,0.354417,0.421599
9,0.282395,0.465153,0.483257,0.353810,0.421442
9,0.281809,0.465725,0.483307,0.352223,0.421347
9,0.281537,0.466336,0.483218,0.351333,0.421469
9,0.281027,0.466812,0.483245,0.350968,0.421699
9,0.280893,0.467321,0.483245,0.350314,0.422049
9,0.281088,0.467908,0.483515,0.349784,0.422218
9,0.281154,0.468414,0.483698,0.348820,0.422205
9,0.281227,0.468918,0.483900,0.347784,0.422243
9,0.281227,0.469118,0.483982,0.347668,0.422377
9,0.280977,0.469336,0.484157,0.347918,0.422496
9,0.279691,0.469260,0.484300,0.348479,0.422599
9,0.279350,0.469225,0.484389,0.348883,0.422699
9,0.278869,0.469321,0.484534,0.348763,0.422695
9,0.278260,0.469398,0.484705,0.348616,0.422840
9,0.277746,0.470096,0.485004,0.349421,0.422605
9,0.278515,0.470697,0.485284,0.349835,0.422427
9,0.278727,0.470692,0.485563,0.350269,0.422174
9,0.280247,0.470574,0.485902,0.351029,0.421553
9,0.280563,0.470574,0.486343,0.353368,0.421107
9,0.281889,0.470985,0.486913,0.354997,0.421178
9,0.282097,0.470703,0.487434,0.358484,0.421377
9,0.281738,0.471322,0.488594,0.363673,0.421840
9,0.280940,0.471492,0.489399,0.367048,0.421532
9,0.281125,0.470717,0.489850,0.373021,0.421777
9,0.278957,0.470304,0.490836,0.377733,0.422022
9,0.277155,0.469869,0.491596,0.383825,0.422279
9,0.275720,0.469356,0.492320,0.389230,0.422044
9,0.272845,0.469664,0.492618,0.395936,0.422076
9,0.268237,0.469220,0.493052,0.400263,0.421903
9,0.264873,0.468273,0.493360,0.403334,0.421744
9,0.260569,0.468268,0.493535,0.405781,0.421731
9,0.256988,0.468253,0.493812,0.408169,0.421658
