gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
1,0.220656,0.357868,0.110328,0.110435,0.125771
1,0.212884,0.424491,0.114330,0.114822,0.125631
1,0.211304,0.440436,0.115580,0.117552,0.124096
1,0.248319,0.431581,0.137130,0.142292,0.142608
1,0.247525,0.434751,0.143359,0.141499,0.143998
1,0.248965,0.439149,0.145534,0.143052,0.145221
1,0.249998,0.440885,0.146821,0.144000,0.146076
1,0.250777,0.442114,0.147715,0.144554,0.146787
1,0.251269,0.442271,0.147944,0.144643,0.147422
1,0.251615,0.442497,0.148144,0.144656,0.147920
1,0.252257,0.442574,0.148117,0.144556,0.148447
1,0.252434,0.442529,0.148125,0.144476,0.148792
1,0.252266,0.442146,0.147880,0.144119,0.149079
1,0.252347,0.441284,0.147683,0.143836,0.149456
1,0.252483,0.440639,0.147710,0.143696,0.149699
1,0.252899,0.439929,0.147751,0.143557,0.149919
1,0.253215,0.439706,0.147636,0.143126,0.149909
1,0.253321,0.438918,0.147425,0.142958,0.150184
1,0.253269,0.438616,0.147307,0.142954,0.150289
1,0.253318,0.438391,0.147283,0.142957,0.150626
1,0.253127,0.438342,0.147188,0.142849,0.150770
1,0.253207,0.438221,0.147088,0.142717,0.150870
1,0.253450,0.438052,0.147042,0.142669,0.151104
1,0.253569,0.437362,0.146910,0.142538,0.151222
1,0.253928,0.436897,0.146676,0.142379,0.151430
1,0.253961,0.436455,0.146252,0.142279,0.151569
1,0.254217,0.435918,0.145884,0.142132,0.151605
1,0.254694,0.435533,0.145657,0.142037,0.151682
1,0.254689,0.435173,0.145394,0.141907,0.151784
1,0.254795,0.434865,0.145190,0.141888,0.152058
1,0.254727,0.434499,0.145082,0.141833,0.152154
1,0.254785,0.434404,0.144994,0.141785,0.152184
1,0.254981,0.434313,0.144856,0.141787,0.152380
1,0.255196,0.434286,0.144671,0.141751,0.152474
1,0.255733,0.434210,0.144489,0.141684,0.152534
1,0.256046,0.434075,0.144464,0.141614,0.152561
1,0.256695,0.433946,0.144479,0.141642,0.152611
1,0.256881,0.433908,0.144435,0.141604,0.152541
1,0.257029,0.433883,0.144487,0.141675,0.152515
1,0.257165,0.433912,0.144407,0.141620,0.152532
1,0.257489,0.434010,0.144381,0.141614,0.152626
1,0.257750,0.434034,0.144341,0.141602,0.152704
1,0.258149,0.434038,0.144263,0.141613,0.152760
1,0.258191,0.434006,0.144179,0.141661,0.152828
1,0.258467,0.433999,0.144076,0.141653,0.152883
1,0.258717,0.433948,0.144059,0.141687,0.152895
1,0.258723,0.433886,0.144077,0.141717,0.152924
1,0.258671,0.433805,0.144059,0.141720,0.152907
1,0.258660,0.433777,0.144083,0.141729,0.152904
1,0.258651,0.433784,0.144147,0.141795,0.152928
1,0.258512,0.433744,0.144177,0.141848,0.152979
1,0.258360,0.433702,0.144189,0.141896,0.153047
1,0.258323,0.433627,0.144182,0.141916,0.153084
1,0.258281,0.433553,0.144161,0.141915,0.153109
1,0.258277,0.433471,0.144140,0.141891,0.153111
1,0.258234,0.433443,0.144116,0.141875,0.153088
1,0.258245,0.433401,0.144094,0.141869,0.153085
1,0.258233,0.433355,0.144063,0.141861,0.153079
1,0.258268,0.433332,0.144011,0.141856,0.153057
1,0.258514,0.433311,0.144022,0.141865,0.153055
1,0.258626,0.433326,0.144006,0.141850,0.153099
1,0.258707,0.433363,0.143999,0.141842,0.153163
1,0.258927,0.433381,0.143990,0.141835,0.153191
1,0.259130,0.433431,0.144056,0.141853,0.153196
1,0.259290,0.433484,0.144079,0.141893,0.153207
1,0.259409,0.433559,0.144092,0.141921,0.153217
1,0.259505,0.433667,0.144084,0.141944,0.153237
1,0.259716,0.433762,0.144070,0.141963,0.153245
1,0.259829,0.433824,0.144076,0.141978,0.153253
1,0.259993,0.433868,0.144054,0.141981,0.153257
1,0.260124,0.433914,0.144063,0.142003,0.153277
1,0.260208,0.433934,0.144062,0.142021,0.153296
1,0.260301,0.433998,0.144060,0.142045,0.153313
1,0.260440,0.434141,0.144090,0.142061,0.153353
1,0.260496,0.434289,0.144113,0.142081,0.153417
1,0.260527,0.434296,0.144155,0.142101,0.153482
1,0.260641,0.434262,0.144165,0.142108,0.153567
1,0.260715,0.434196,0.144193,0.142135,0.153642
1,0.260783,0.434149,0.144203,0.142156,0.153706
1,0.260885,0.434130,0.144200,0.142188,0.153757
1,0.260970,0.434167,0.144216,0.142225,0.153809
1,0.261052,0.434225,0.144261,0.142281,0.153861
1,0.261054,0.434199,0.144254,0.142285,0.153891
1,0.261102,0.434207,0.144246,0.142288,0.153930
1,0.261056,0.434249,0.144235,0.142290,0.153951
1,0.261026,0.434324,0.144245,0.142312,0.154000
1,0.261023,0.434386,0.144262,0.142336,0.154047
1,0.261061,0.434443,0.144240,0.142344,0.154104
1,0.261099,0.434452,0.144247,0.142357,0.154151
1,0.261126,0.434447,0.144227,0.142349,0.154181
1,0.261118,0.434441,0.144228,0.142325,0.154179
1,0.261045,0.434356,0.144201,0.142303,0.154159
1,0.260911,0.434259,0.144180,0.142288,0.154100
1,0.260793,0.434097,0.144175,0.142266,0.154025
1,0.260660,0.433850,0.144163,0.142244,0.153952
1,0.260620,0.433685,0.144150,0.142237,0.153933
1,0.260574,0.433510,0.144107,0.142211,0.153888
1,0.260503,0.433387,0.144055,0.142186,0.153844
1,0.260440,0.433295,0.144035,0.142167,0.153819
1,0.260384,0.433232,0.144013,0.142159,0.153805
1,0.260333,0.433173,0.144018,0.142168,0.153800
1,0.260314,0.433067,0.144009,0.142167,0.153790
1,0.260278,0.432999,0.144023,0.142171,0.153764
1,0.260265,0.432948,0.144019,0.142152,0.153752
1,0.260228,0.432904,0.143978,0.142124,0.153728
1,0.260233,0.432865,0.143976,0.142105,0.153718
1,0.260265,0.432852,0.143972,0.142090,0.153704
1,0.260254,0.432858,0.143955,0.142064,0.153698
1,0.260223,0.432845,0.143932,0.142045,0.153702
1,0.260190,0.432846,0.143913,0.142032,0.153702
1,0.260216,0.432871,0.143922,0.142034,0.153708
