gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
4,0.243543,0.474803,0.450319,0.158870,0.159473
4,0.214613,0.484608,0.472099,0.166663,0.164658
4,0.199441,0.487135,0.475081,0.167121,0.166070
4,0.194158,0.487759,0.475396,0.167646,0.166780
4,0.191710,0.487726,0.476004,0.167874,0.167145
4,0.190475,0.487728,0.476461,0.168030,0.167312
4,0.190013,0.487603,0.476763,0.168151,0.167506
4,0.189710,0.487479,0.477131,0.168217,0.167530
4,0.189575,0.487109,0.477271,0.168202,0.167354
4,0.189534,0.486755,0.477354,0.168310,0.167262
4,0.189564,0.486643,0.477467,0.168457,0.167204
4,0.189608,0.486509,0.477449,0.168534,0.167163
4,0.189734,0.486384,0.477451,0.168588,0.167162
4,0.189805,0.486350,0.477393,0.168574,0.167128
4,0.189912,0.486263,0.477364,0.168533,0.167112
4,0.190026,0.486209,0.477350,0.168469,0.167073
4,0.190186,0.486112,0.477297,0.168455,0.167091
4,0.190355,0.486088,0.477209,0.168411,0.167040
4,0.190419,0.486087,0.477151,0.168367,0.167030
4,0.190435,0.486062,0.477030,0.168336,0.167038
4,0.190465,0.486016,0.476903,0.168277,0.167032
4,0.190489,0.485970,0.476699,0.168245,0.167034
4,0.190510,0.485978,0.476557,0.168144,0.167015
4,0.190499,0.485977,0.476414,0.168027,0.166972
4,0.190493,0.485950,0.476352,0.167935,0.166942
4,0.190463,0.485906,0.476243,0.167814,0.166877
4,0.190422,0.485827,0.476128,0.167747,0.166835
4,0.190399,0.485709,0.476019,0.167633,0.166770
4,0.190435,0.485538,0.475926,0.167582,0.166718
4,0.190466,0.485343,0.475869,0.167593,0.166691
4,0.190464,0.485199,0.475806,0.167598,0.166679
4,0.190558,0.485082,0.475705,0.167569,0.166633
4,0.190669,0.485061,0.475551,0.167543,0.166610
4,0.190727,0.484957,0.475434,0.167522,0.166593
4,0.190744,0.484864,0.475346,0.167492,0.166568
4,0.190748,0.484832,0.475289,0.167484,0.166542
4,0.190729,0.484805,0.475217,0.167471,0.166508
4,0.190735,0.484736,0.475160,0.167503,0.166518
4,0.190719,0.484679,0.475082,0.167516,0.166512
4,0.190676,0.484653,0.474993,0.167512,0.166496
4,0.190631,0.484619,0.474895,0.167498,0.166496
4,0.190556,0.484585,0.474750,0.167446,0.166489
4,0.190498,0.484527,0.474673,0.167381,0.166470
4,0.190368,0.484448,0.474556,0.167285,0.166446
4,0.190310,0.484410,0.474487,0.167181,0.166398
4,0.190246,0.484388,0.474398,0.167075,0.166368
4,0.190218,0.484373,0.474277,0.166995,0.166348
4,0.190170,0.484332,0.474190,0.166895,0.166313
4,0.190145,0.484242,0.474066,0.166848,0.166279
4,0.190128,0.484167,0.473932,0.166838,0.166283
4,0.190116,0.484088,0.473806,0.166810,0.166303
4,0.190096,0.484021,0.473742,0.166786,0.166310
4,0.190103,0.483968,0.473717,0.166777,0.166293
4,0.190056,0.483939,0.473626,0.166775,0.166294
4,0.190036,0.483893,0.473512,0.166761,0.166279
4,0.190033,0.483867,0.473480,0.166762,0.166257
4,0.190010,0.483843,0.473427,0.166750,0.166244
4,0.190012,0.483799,0.473313,0.166754,0.166268
4,0.190005,0.483769,0.473198,0.166789,0.166294
4,0.189989,0.483762,0.473092,0.166836,0.166344
4,0.189947,0.483770,0.473065,0.166887,0.166389
4,0.189923,0.483809,0.473070,0.166938,0.166431
4,0.189912,0.483845,0.473104,0.166965,0.166418
4,0.189859,0.483892,0.473136,0.167017,0.166427
4,0.189781,0.483925,0.473105,0.167065,0.166448
4,0.189712,0.483962,0.473107,0.167092,0.166408
4,0.189644,0.484014,0.473091,0.167082,0.166394
4,0.189525,0.484052,0.473047,0.167014,0.166373
4,0.189411,0.484079,0.473011,0.166967,0.166358
4,0.189323,0.484064,0.472966,0.166915,0.166340
4,0.189248,0.484044,0.472946,0.166909,0.166343
4,0.189143,0.483995,0.472937,0.166917,0.166354
4,0.189051,0.483916,0.472896,0.166901,0.166344
4,0.189008,0.483824,0.472839,0.166894,0.166359
4,0.188979,0.483704,0.472781,0.166894,0.166377
4,0.188967,0.483602,0.472779,0.166898,0.166380
4,0.188974,0.483476,0.472709,0.166917,0.166407
4,0.189012,0.483417,0.472680,0.166949,0.166420
4,0.189023,0.483404,0.472650,0.166979,0.166384
4,0.189054,0.483348,0.472634,0.166998,0.166366
4,0.189086,0.483312,0.472665,0.167045,0.166396
4,0.189161,0.483321,0.472644,0.167063,0.166416
4,0.189224,0.483338,0.472559,0.167069,0.166435
4,0.189368,0.483349,0.472508,0.167113,0.166471
4,0.189461,0.483292,0.472461,0.167143,0.166501
4,0.189500,0.483369,0.472454,0.167125,0.166532
4,0.189523,0.483397,0.472416,0.167116,0.166545
4,0.189562,0.483383,0.472326,0.167102,0.166551
4,0.189592,0.483384,0.472284,0.167097,0.166543
4,0.189604,0.483388,0.472246,0.167058,0.166535
4,0.189587,0.483383,0.472256,0.167056,0.166545
4,0.189516,0.483391,0.472221,0.167033,0.166565
4,0.189474,0.483391,0.472177,0.167012,0.166573
4,0.189447,0.483398,0.472119,0.166998,0.166570
4,0.189413,0.483418,0.472091,0.167000,0.166568
4,0.189358,0.483421,0.472072,0.167006,0.166571
4,0.189346,0.483444,0.472039,0.167000,0.166584
4,0.189329,0.483462,0.472024,0.166997,0.166599
4,0.189338,0.483466,0.471987,0.166995,0.166598
4,0.189366,0.483453,0.471948,0.167007,0.166593
4,0.189401,0.483436,0.471897,0.167008,0.166583
4,0.189425,0.483410,0.471819,0.167035,0.166577
4,0.189433,0.483374,0.471744,0.167072,0.166588
4,0.189454,0.483348,0.471658,0.167060,0.166578
4,0.189455,0.483306,0.471595,0.167063,0.166575
4,0.189459,0.483238,0.471456,0.167048,0.166559
4,0.189476,0.483169,0.471380,0.167043,0.166542
4,0.189488,0.483100,0.471321,0.166999,0.166468
4,0.189493,0.483076,0.471251,0.166934,0.166396
4,0.189468,0.483076,0.471220,0.166862,0.166317
4,0.189464,0.483040,0.471181,0.166819,0.166260
4,0.189455,0.483010,0.471136,0.166791,0.166227
4,0.189450,0.483020,0.471125,0.166771,0.166201
4,0.189426,0.483030,0.471140,0.166763,0.166175
4,0.189404,0.483062,0.471156,0.166721,0.166123
4,0.189395,0.483114,0.471201,0.166724,0.166098
4,0.189357,0.483110,0.471256,0.166729,0.166100
4,0.189313,0.483121,0.471344,0.166750,0.166111
4,0.189289,0.483107,0.471320,0.166766,0.166128
4,0.189264,0.483087,0.471309,0.166785,0.166177
4,0.189224,0.483092,0.471284,0.166775,0.166203
4,0.189192,0.483085,0.471276,0.166780,0.166242
4,0.189169,0.483084,0.471240,0.166742,0.166239
4,0.189173,0.483097,0.471242,0.166721,0.166255
4,0.189175,0.483108,0.471217,0.166695,0.166271
4,0.189156,0.483127,0.471171,0.166659,0.166295
4,0.189124,0.483185,0.471142,0.166603,0.166293
4,0.189093,0.483231,0.471103,0.166550,0.166296
4,0.189078,0.483271,0.471093,0.166489,0.166287
4,0.189075,0.483313,0.471068,0.166419,0.166274
4,0.189095,0.483347,0.471041,0.166350,0.166245
4,0.189095,0.483414,0.471027,0.166284,0.166211
4,0.189052,0.483436,0.471028,0.166245,0.166195
4,0.188970,0.483415,0.471026,0.166210,0.166172
4,0.188947,0.483401,0.471049,0.166179,0.166133
4,0.188909,0.483395,0.471052,0.166124,0.166106
4,0.188883,0.483397,0.471043,0.166067,0.166068
4,0.188892,0.483400,0.471033,0.166029,0.166018
4,0.188901,0.483387,0.471002,0.166001,0.165979
4,0.188869,0.483391,0.470986,0.165961,0.165941
4,0.188842,0.483404,0.470979,0.165937,0.165919
4,0.188830,0.483410,0.470943,0.165912,0.165900
4,0.188778,0.483434,0.470938,0.165891,0.165896
4,0.188778,0.483439,0.470966,0.165900,0.165926
