gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
3,0.431752,0.425686,0.125774,0.135141,0.152282
3,0.432411,0.427114,0.126648,0.135571,0.152637
3,0.433263,0.428424,0.127359,0.136081,0.152988
3,0.433986,0.429715,0.127624,0.136320,0.153230
3,0.434661,0.430429,0.128056,0.136677,0.153572
3,0.435457,0.430562,0.128520,0.137104,0.153792
3,0.436051,0.430897,0.128774,0.137443,0.154043
3,0.436523,0.431250,0.128951,0.137742,0.154264
3,0.436901,0.431314,0.129153,0.138055,0.154497
3,0.437230,0.431594,0.129358,0.138303,0.154701
3,0.437508,0.431877,0.129539,0.138490,0.154807
3,0.437844,0.432072,0.129660,0.138674,0.154900
3,0.438034,0.432348,0.129737,0.138813,0.155017
3,0.438155,0.432668,0.129761,0.138925,0.155112
3,0.438323,0.432933,0.129788,0.139012,0.155184
3,0.438552,0.433146,0.129814,0.139106,0.155264
3,0.438729,0.433474,0.129861,0.139179,0.155305
3,0.438862,0.433740,0.129947,0.139255,0.155365
3,0.439015,0.433949,0.129982,0.139320,0.155423
3,0.439186,0.434089,0.130020,0.139384,0.155491
3,0.439394,0.434193,0.130058,0.139452,0.155516
3,0.439593,0.434369,0.130080,0.139500,0.155536
3,0.439677,0.434559,0.130088,0.139560,0.155564
3,0.439688,0.434738,0.130100,0.139604,0.155603
3,0.439701,0.434844,0.130132,0.139687,0.155639
3,0.439747,0.434922,0.130193,0.139768,0.155684
3,0.439798,0.435061,0.130255,0.139847,0.155728
3,0.439859,0.435187,0.130330,0.139916,0.155754
3,0.439980,0.435385,0.130356,0.139970,0.155758
3,0.440060,0.435545,0.130378,0.140004,0.155763
3,0.440122,0.435721,0.130396,0.140039,0.155760
3,0.440209,0.435844,0.130434,0.140060,0.155765
3,0.440323,0.435978,0.130469,0.140088,0.155764
3,0.440394,0.436082,0.130504,0.140120,0.155746
3,0.440415,0.436121,0.130524,0.140152,0.155741
3,0.440470,0.436192,0.130536,0.140195,0.155744
3,0.440550,0.436257,0.130515,0.140235,0.155769
3,0.440594,0.436339,0.130459,0.140256,0.155776
3,0.440666,0.436446,0.130409,0.140268,0.155777
3,0.440695,0.436524,0.130363,0.140278,0.155779
3,0.440709,0.436562,0.130336,0.140294,0.155785
3,0.440777,0.436553,0.130310,0.140314,0.155805
3,0.440890,0.436557,0.130272,0.140325,0.155841
3,0.440997,0.436562,0.130246,0.140334,0.155886
3,0.441108,0.436568,0.130212,0.140353,0.155924
3,0.441228,0.436567,0.130191,0.140365,0.155940
3,0.441380,0.436605,0.130185,0.140372,0.155939
3,0.441494,0.436672,0.130177,0.140384,0.155955
3,0.441599,0.436693,0.130156,0.140399,0.155971
3,0.441668,0.436747,0.130148,0.140405,0.155982
3,0.441747,0.436772,0.130138,0.140417,0.155997
3,0.441791,0.436799,0.130128,0.140423,0.156010
3,0.441848,0.436815,0.130091,0.140420,0.155992
3,0.441906,0.436793,0.130037,0.140412,0.155985
3,0.441987,0.436792,0.130020,0.140415,0.155971
3,0.442098,0.436790,0.129975,0.140403,0.155951
3,0.442241,0.436746,0.129938,0.140392,0.155935
3,0.442348,0.436678,0.129907,0.140371,0.155935
3,0.442408,0.436623,0.129898,0.140367,0.155932
3,0.442457,0.436609,0.129877,0.140365,0.155921
3,0.442506,0.436556,0.129860,0.140349,0.155904
3,0.442600,0.436543,0.129838,0.140337,0.155893
3,0.442666,0.436562,0.129830,0.140327,0.155904
3,0.442757,0.436523,0.129840,0.140327,0.155930
3,0.442862,0.436483,0.129846,0.140328,0.155957
3,0.442953,0.436504,0.129851,0.140323,0.155979
3,0.443059,0.436501,0.129852,0.140329,0.155987
3,0.443109,0.436495,0.129860,0.140331,0.155978
3,0.443190,0.436490,0.129871,0.140353,0.155991
3,0.443283,0.436448,0.129875,0.140369,0.155981
3,0.443372,0.436437,0.129877,0.140382,0.155985
3,0.443419,0.436426,0.129876,0.140399,0.155984
3,0.443440,0.436428,0.129870,0.140424,0.155988
3,0.443454,0.436442,0.129866,0.140452,0.156002
3,0.443489,0.436440,0.129858,0.140480,0.156000
3,0.443497,0.436462,0.129856,0.140500,0.155999
3,0.443525,0.436486,0.129851,0.140511,0.156007
3,0.443551,0.436499,0.129852,0.140522,0.156019
3,0.443567,0.436504,0.129866,0.140518,0.156048
3,0.443582,0.436504,0.129879,0.140512,0.156092
3,0.443598,0.436505,0.129881,0.140493,0.156116
3,0.443680,0.436484,0.129910,0.140473,0.156121
3,0.443706,0.436481,0.129935,0.140450,0.156125
3,0.443734,0.436483,0.129956,0.140433,0.156119
3,0.443740,0.436477,0.129974,0.140414,0.156099
3,0.443778,0.436477,0.130003,0.140404,0.156083
3,0.443831,0.436436,0.130009,0.140395,0.156076
3,0.443919,0.436408,0.130021,0.140390,0.156067
3,0.443993,0.436363,0.130045,0.140389,0.156051
3,0.444003,0.436341,0.130066,0.140392,0.156040
3,0.444027,0.436307,0.130104,0.140407,0.156036
3,0.444025,0.436326,0.130132,0.140413,0.156026
3,0.444035,0.436337,0.130152,0.140419,0.156009
