gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
1,0.242080,0.388355,0.138672,0.143575,0.150747
1,0.254499,0.374369,0.124526,0.138547,0.144255
1,0.264240,0.368857,0.122107,0.137323,0.142069
1,0.271388,0.366663,0.121819,0.136794,0.141507
1,0.274481,0.366185,0.121417,0.136530,0.141428
1,0.276517,0.365964,0.121323,0.136568,0.141618
1,0.277309,0.365826,0.121487,0.136733,0.141796
1,0.277948,0.365840,0.121619,0.136810,0.141972
1,0.278309,0.365826,0.121664,0.136877,0.142078
1,0.278627,0.365698,0.121625,0.136904,0.142153
1,0.278830,0.365678,0.121630,0.136953,0.142231
1,0.279054,0.365740,0.121666,0.137016,0.142305
1,0.279228,0.365945,0.121728,0.137107,0.142390
1,0.279337,0.365999,0.121769,0.137186,0.142465
1,0.279385,0.366037,0.121796,0.137254,0.142537
1,0.279457,0.366114,0.121845,0.137370,0.142639
1,0.279594,0.366283,0.121946,0.137423,0.142711
1,0.279752,0.366390,0.122001,0.137469,0.142774
1,0.279756,0.366503,0.122026,0.137507,0.142836
1,0.279961,0.366581,0.122111,0.137602,0.142917
1,0.280039,0.366724,0.122230,0.137743,0.143015
1,0.280133,0.366856,0.122403,0.137857,0.143124
1,0.280285,0.366951,0.122571,0.137931,0.143191
1,0.280248,0.367011,0.122664,0.138016,0.143274
1,0.280223,0.367050,0.122709,0.138078,0.143326
1,0.280249,0.367111,0.122773,0.138187,0.143420
1,0.280338,0.367194,0.122816,0.138240,0.143483
1,0.280450,0.367288,0.122860,0.138327,0.143585
1,0.280564,0.367311,0.122895,0.138408,0.143675
1,0.280696,0.367461,0.122952,0.138465,0.143722
1,0.280833,0.367481,0.122968,0.138504,0.143760
1,0.281040,0.367538,0.122993,0.138550,0.143809
1,0.281224,0.367542,0.123022,0.138567,0.143823
1,0.281359,0.367627,0.123040,0.138586,0.143847
1,0.281462,0.367624,0.123041,0.138599,0.143864
1,0.281548,0.367611,0.123032,0.138578,0.143873
1,0.281608,0.367620,0.123044,0.138580,0.143903
1,0.281711,0.367642,0.123054,0.138574,0.143921
1,0.281799,0.367714,0.123058,0.138582,0.143959
1,0.281896,0.367773,0.123067,0.138573,0.143979
1,0.282025,0.367886,0.123085,0.138587,0.144014
1,0.282187,0.368021,0.123136,0.138626,0.144059
1,0.282348,0.368093,0.123165,0.138653,0.144085
1,0.282495,0.368087,0.123184,0.138666,0.144102
1,0.282630,0.368126,0.123199,0.138708,0.144149
1,0.282732,0.368116,0.123216,0.138734,0.144177
1,0.282786,0.368121,0.123240,0.138786,0.144216
1,0.282880,0.368132,0.123251,0.138824,0.144249
1,0.282913,0.368165,0.123246,0.138838,0.144281
1,0.282990,0.368171,0.123242,0.138829,0.144281
1,0.283094,0.368208,0.123252,0.138836,0.144292
1,0.283120,0.368228,0.123252,0.138837,0.144302
1,0.283160,0.368280,0.123271,0.138840,0.144300
1,0.283194,0.368281,0.123280,0.138842,0.144293
1,0.283239,0.368277,0.123285,0.138842,0.144290
1,0.283329,0.368211,0.123280,0.138829,0.144292
1,0.283392,0.368197,0.123280,0.138851,0.144313
1,0.283372,0.368210,0.123282,0.138880,0.144330
1,0.283375,0.368266,0.123311,0.138921,0.144348
1,0.283348,0.368289,0.123338,0.138939,0.144357
1,0.283317,0.368316,0.123357,0.138953,0.144361
1,0.283322,0.368342,0.123373,0.138955,0.144365
1,0.283344,0.368372,0.123430,0.139017,0.144404
1,0.283448,0.368415,0.123469,0.139063,0.144439
1,0.283487,0.368445,0.123485,0.139076,0.144447
1,0.283467,0.368473,0.123519,0.139123,0.144460
1,0.283370,0.368565,0.123541,0.139178,0.144497
1,0.283271,0.368563,0.123584,0.139225,0.144516
1,0.283210,0.368563,0.123611,0.139264,0.144536
1,0.283168,0.368552,0.123666,0.139282,0.144538
1,0.283132,0.368540,0.123718,0.139304,0.144558
1,0.283066,0.368540,0.123753,0.139310,0.144567
1,0.282948,0.368544,0.123776,0.139323,0.144575
1,0.282942,0.368530,0.123807,0.139335,0.144584
1,0.282893,0.368503,0.123814,0.139332,0.144589
1,0.282850,0.368519,0.123833,0.139364,0.144610
1,0.282765,0.368499,0.123827,0.139369,0.144622
1,0.282666,0.368494,0.123827,0.139404,0.144646
1,0.282561,0.368459,0.123819,0.139441,0.144664
1,0.282453,0.368411,0.123798,0.139461,0.144677
1,0.282390,0.368364,0.123799,0.139483,0.144688
1,0.282385,0.368352,0.123790,0.139517,0.144711
1,0.282403,0.368323,0.123786,0.139528,0.144737
1,0.282414,0.368324,0.123818,0.139552,0.144755
1,0.282447,0.368353,0.123838,0.139580,0.144774
1,0.282454,0.368402,0.123859,0.139588,0.144789
1,0.282398,0.368474,0.123868,0.139592,0.144809
1,0.282352,0.368517,0.123895,0.139633,0.144844
1,0.282300,0.368535,0.123897,0.139651,0.144861
1,0.282278,0.368602,0.123920,0.139688,0.144880
1,0.282260,0.368622,0.123958,0.139714,0.144899
1,0.282279,0.368625,0.123998,0.139735,0.144900
1,0.282306,0.368627,0.124022,0.139735,0.144887
1,0.282329,0.368612,0.124041,0.139766,0.144889
1,0.282273,0.368603,0.124049,0.139802,0.144896
1,0.282283,0.368607,0.124066,0.139869,0.144916
1,0.282252,0.368618,0.124077,0.139889,0.144920
1,0.282230,0.368647,0.124089,0.139913,0.144940
1,0.282160,0.368666,0.124086,0.139925,0.144949
1,0.282154,0.368724,0.124102,0.139945,0.144968
1,0.282182,0.368733,0.124121,0.139946,0.144974
1,0.282192,0.368720,0.124112,0.139929,0.144953
1,0.282249,0.368744,0.124114,0.139947,0.144952
1,0.282242,0.368752,0.124111,0.139950,0.144953
1,0.282295,0.368755,0.124113,0.139938,0.144954
1,0.282201,0.368753,0.124107,0.139930,0.144946
1,0.282201,0.368746,0.124108,0.139927,0.144938
1,0.282204,0.368695,0.124112,0.139966,0.144957
1,0.282273,0.368648,0.124151,0.140003,0.144987
1,0.282178,0.368581,0.124154,0.140013,0.145010
1,0.282149,0.368495,0.124153,0.140018,0.145033
1,0.282134,0.368457,0.124160,0.140057,0.145079
1,0.282075,0.368450,0.124185,0.140087,0.145115
1,0.281868,0.368461,0.124238,0.140124,0.145158
1,0.281793,0.368471,0.124284,0.140178,0.145204
1,0.281668,0.368493,0.124326,0.140228,0.145241
1,0.281669,0.368503,0.124356,0.140269,0.145268
1,0.281718,0.368525,0.124384,0.140281,0.145273
1,0.281816,0.368539,0.124413,0.140283,0.145266
1,0.281888,0.368563,0.124447,0.140284,0.145267
1,0.281942,0.368589,0.124444,0.140268,0.145267
1,0.281936,0.368605,0.124442,0.140251,0.145266
1,0.281975,0.368617,0.124467,0.140243,0.145258
1,0.282019,0.368596,0.124472,0.140223,0.145235
1,0.282071,0.368689,0.124492,0.140235,0.145238
1,0.282147,0.368726,0.124487,0.140216,0.145222
1,0.282294,0.368747,0.124504,0.140208,0.145215
1,0.282402,0.368725,0.124499,0.140173,0.145191
1,0.282492,0.368687,0.124496,0.140141,0.145167
1,0.282540,0.368646,0.124497,0.140116,0.145157
1,0.282587,0.368634,0.124483,0.140117,0.145168
1,0.282592,0.368636,0.124490,0.140141,0.145177
1,0.282617,0.368649,0.124489,0.140177,0.145174
1,0.282588,0.368652,0.124480,0.140200,0.145171
1,0.282476,0.368715,0.124492,0.140271,0.145219
1,0.282379,0.368770,0.124514,0.140341,0.145269
1,0.282325,0.368852,0.124518,0.140345,0.145297
1,0.282311,0.368959,0.124550,0.140349,0.145316
1,0.282204,0.368982,0.124579,0.140378,0.145343
