gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
2,0.237260,0.095850,0.111914,0.130488,0.174056
2,0.236724,0.099658,0.113102,0.132591,0.183262
2,0.236792,0.101783,0.114531,0.133792,0.193560
2,0.237110,0.102768,0.115774,0.133527,0.204814
2,0.236264,0.104398,0.116450,0.133830,0.213973
2,0.237093,0.104424,0.116952,0.132743,0.216416
2,0.236646,0.104402,0.116983,0.131549,0.215869
2,0.236660,0.104380,0.117002,0.130092,0.215390
2,0.236928,0.104292,0.117035,0.129327,0.214335
2,0.237238,0.104172,0.117040,0.128986,0.212993
2,0.237627,0.104080,0.117029,0.128674,0.212789
2,0.238058,0.103936,0.116995,0.128392,0.212474
2,0.238421,0.103919,0.116992,0.128315,0.212154
2,0.238651,0.104008,0.117017,0.128285,0.212178
2,0.238831,0.104170,0.117038,0.128398,0.212535
2,0.238972,0.104359,0.117130,0.128556,0.212638
2,0.239036,0.104481,0.117200,0.128617,0.212662
2,0.238950,0.104628,0.117289,0.128675,0.212705
2,0.238820,0.104768,0.117407,0.128695,0.212752
2,0.238633,0.104990,0.117617,0.128902,0.212763
2,0.238418,0.105046,0.117677,0.128901,0.212314
2,0.238402,0.105081,0.117702,0.128936,0.211546
2,0.238385,0.105060,0.117800,0.128895,0.210210
2,0.238442,0.105085,0.117919,0.129044,0.209908
2,0.238466,0.105278,0.118132,0.129542,0.210116
2,0.238608,0.105414,0.118220,0.129746,0.209874
2,0.238899,0.105435,0.118277,0.129787,0.209393
2,0.239208,0.105522,0.118415,0.129904,0.209283
2,0.239387,0.105639,0.118497,0.130042,0.209405
2,0.239469,0.105677,0.118540,0.130021,0.209300
2,0.239453,0.105724,0.118586,0.129995,0.209212
2,0.239664,0.105779,0.118630,0.129984,0.209413
2,0.239802,0.105942,0.118751,0.130030,0.209486
2,0.239718,0.106085,0.118843,0.130042,0.209491
2,0.239542,0.106193,0.118961,0.130048,0.209321
2,0.239419,0.106314,0.119038,0.130049,0.209427
2,0.239172,0.106483,0.119111,0.130079,0.209422
2,0.239023,0.106572,0.119144,0.130080,0.209385
2,0.238998,0.106689,0.119218,0.130140,0.209472
2,0.238964,0.106848,0.119259,0.130212,0.209543
2,0.238938,0.106943,0.119264,0.130251,0.209679
2,0.238830,0.107023,0.119256,0.130277,0.209731
2,0.238831,0.107057,0.119280,0.130247,0.209683
2,0.238836,0.107166,0.119345,0.130393,0.209958
2,0.238879,0.107214,0.119410,0.130570,0.209921
2,0.238997,0.107234,0.119501,0.130740,0.209747
2,0.239080,0.107191,0.119564,0.130845,0.209760
2,0.239017,0.107208,0.119699,0.130980,0.209646
2,0.239075,0.107224,0.119850,0.131125,0.209623
2,0.239009,0.107222,0.119985,0.131234,0.209615
2,0.238912,0.107210,0.120089,0.131283,0.209560
2,0.238820,0.107248,0.120181,0.131334,0.209606
2,0.238758,0.107237,0.120252,0.131357,0.209452
2,0.238617,0.107225,0.120296,0.131442,0.209366
2,0.238520,0.107237,0.120367,0.131479,0.209144
2,0.238489,0.107256,0.120440,0.131527,0.208978
2,0.238464,0.107214,0.120423,0.131486,0.208755
2,0.238389,0.107251,0.120417,0.131540,0.208635
2,0.238357,0.107277,0.120424,0.131634,0.208631
2,0.238247,0.107280,0.120415,0.131679,0.208630
2,0.238179,0.107261,0.120409,0.131732,0.208621
2,0.238007,0.107204,0.120418,0.131690,0.208599
2,0.237927,0.107204,0.120475,0.131694,0.208670
2,0.237708,0.107284,0.120539,0.131739,0.209020
2,0.237402,0.107388,0.120575,0.131810,0.209267
2,0.237170,0.107536,0.120677,0.131940,0.209737
2,0.237006,0.107663,0.120697,0.131988,0.210565
2,0.236890,0.107716,0.120732,0.131979,0.211162
2,0.236837,0.107752,0.120705,0.131975,0.211470
2,0.236779,0.107790,0.120675,0.131855,0.211607
2,0.236838,0.107825,0.120649,0.131775,0.211745
2,0.236874,0.107912,0.120635,0.131741,0.212094
2,0.236888,0.107989,0.120626,0.131781,0.212329
2,0.236964,0.108094,0.120648,0.131874,0.212790
2,0.236978,0.108179,0.120685,0.131961,0.213299
2,0.236987,0.108233,0.120709,0.131999,0.213661
2,0.237022,0.108262,0.120733,0.132016,0.213887
2,0.237169,0.108284,0.120765,0.132014,0.214099
2,0.237344,0.108214,0.120812,0.131912,0.214183
2,0.237488,0.108095,0.120817,0.131731,0.214071
2,0.237511,0.108009,0.120805,0.131595,0.214005
2,0.237542,0.107910,0.120813,0.131493,0.213787
2,0.237555,0.107818,0.120805,0.131414,0.213428
2,0.237594,0.107760,0.120805,0.131377,0.213425
2,0.237688,0.107595,0.120768,0.131259,0.213431
2,0.237799,0.107462,0.120738,0.131173,0.213367
2,0.237671,0.107357,0.120726,0.131035,0.213235
2,0.237581,0.107315,0.120708,0.131020,0.212818
2,0.237446,0.107275,0.120712,0.130991,0.212858
2,0.237334,0.107227,0.120706,0.130981,0.212528
2,0.237178,0.107217,0.120698,0.130959,0.212263
2,0.237105,0.107220,0.120702,0.130932,0.212121
2,0.237076,0.107241,0.120713,0.130939,0.212191
2,0.237080,0.107275,0.120756,0.130973,0.212286
2,0.237074,0.107285,0.120744,0.130975,0.212385
2,0.237057,0.107299,0.120735,0.130990,0.212528
2,0.237050,0.107322,0.120725,0.131056,0.212612
2,0.237079,0.107378,0.120727,0.131141,0.212724
2,0.237064,0.107415,0.120719,0.131196,0.212893
2,0.237127,0.107451,0.120712,0.131288,0.212870
2,0.237235,0.107533,0.120704,0.131400,0.213111
2,0.237313,0.107534,0.120622,0.131491,0.213029
2,0.237440,0.107525,0.120605,0.131564,0.213018
2,0.237511,0.107530,0.120603,0.131691,0.213276
2,0.237611,0.107532,0.120586,0.131745,0.213296
2,0.237664,0.107487,0.120548,0.131750,0.213206
2,0.237697,0.107458,0.120525,0.131762,0.213162
2,0.237749,0.107416,0.120517,0.131761,0.213163
2,0.237771,0.107383,0.120523,0.131755,0.213162
2,0.237773,0.107349,0.120537,0.131683,0.213099
2,0.237743,0.107308,0.120538,0.131605,0.212940
2,0.237681,0.107290,0.120530,0.131523,0.212872
2,0.237573,0.107250,0.120538,0.131445,0.212902
2,0.237532,0.107273,0.120547,0.131455,0.213014
2,0.237473,0.107357,0.120607,0.131572,0.213630
2,0.237399,0.107452,0.120681,0.131692,0.213734
2,0.237386,0.107499,0.120685,0.131716,0.213757
2,0.237356,0.107495,0.120694,0.131675,0.213716
2,0.237355,0.107445,0.120687,0.131534,0.213411
2,0.237345,0.107457,0.120658,0.131443,0.213456
2,0.237387,0.107521,0.120625,0.131338,0.213556
2,0.237447,0.107588,0.120607,0.131306,0.213641
2,0.237519,0.107634,0.120579,0.131269,0.213677
2,0.237530,0.107678,0.120556,0.131256,0.213671
2,0.237537,0.107703,0.120542,0.131253,0.213827
2,0.237529,0.107700,0.120530,0.131204,0.213997
2,0.237566,0.107658,0.120500,0.131106,0.214011
2,0.237710,0.107593,0.120498,0.130990,0.214009
2,0.237665,0.107609,0.120533,0.130967,0.214050
2,0.237641,0.107611,0.120540,0.130860,0.214166
2,0.237604,0.107625,0.120541,0.130845,0.214427
2,0.237560,0.107633,0.120532,0.130846,0.214640
2,0.237529,0.107596,0.120496,0.130773,0.214774
2,0.237525,0.107608,0.120499,0.130731,0.214916
2,0.237520,0.107626,0.120502,0.130707,0.215102
2,0.237514,0.107611,0.120495,0.130648,0.215101
2,0.237533,0.107594,0.120467,0.130587,0.215093
2,0.237560,0.107571,0.120454,0.130471,0.215076
2,0.237608,0.107566,0.120464,0.130411,0.215239
2,0.237744,0.107531,0.120447,0.130350,0.215247
2,0.237806,0.107529,0.120464,0.130383,0.215351
2,0.237835,0.107547,0.120506,0.130430,0.215548
2,0.237776,0.107547,0.120516,0.130459,0.215616
2,0.237742,0.107561,0.120539,0.130507,0.215704
2,0.237735,0.107553,0.120522,0.130504,0.215795
2,0.237736,0.107577,0.120540,0.130525,0.215823
2,0.237825,0.107542,0.120498,0.130516,0.215797
2,0.237869,0.107528,0.120480,0.130525,0.215802
2,0.237933,0.107468,0.120458,0.130514,0.215768
2,0.238056,0.107431,0.120458,0.130501,0.215727
2,0.238152,0.107348,0.120428,0.130418,0.215522
2,0.238220,0.107296,0.120444,0.130415,0.215246
2,0.238291,0.107254,0.120441,0.130384,0.214961
2,0.238323,0.107229,0.120467,0.130385,0.214788
2,0.238418,0.107208,0.120549,0.130372,0.214564
2,0.238481,0.107156,0.120577,0.130276,0.214241
2,0.238556,0.107088,0.120586,0.130206,0.213913
2,0.238644,0.107039,0.120587,0.130182,0.213734
2,0.238692,0.107052,0.120579,0.130199,0.213697
2,0.238725,0.107051,0.120583,0.130242,0.213731
2,0.238743,0.107035,0.120568,0.130256,0.213633
2,0.238729,0.107046,0.120548,0.130308,0.213670
2,0.238734,0.107090,0.120563,0.130450,0.213664
2,0.238755,0.107104,0.120570,0.130567,0.213661
2,0.238790,0.107116,0.120580,0.130632,0.213703
2,0.238745,0.107184,0.120592,0.130806,0.213968
2,0.238706,0.107281,0.120601,0.130907,0.214282
2,0.238728,0.107316,0.120609,0.130996,0.214376
2,0.238762,0.107354,0.120622,0.131091,0.214474
2,0.238783,0.107364,0.120627,0.131139,0.214430
2,0.238793,0.107389,0.120669,0.131206,0.214431
2,0.238804,0.107418,0.120696,0.131298,0.214373
2,0.238869,0.107411,0.120748,0.131359,0.214401
2,0.238946,0.107464,0.120819,0.131457,0.214499
2,0.238948,0.107524,0.120864,0.131538,0.214561
2,0.239002,0.107595,0.120893,0.131609,0.214782
2,0.239087,0.107607,0.120950,0.131660,0.214867
2,0.239114,0.107641,0.121009,0.131701,0.214942
