gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
8,0.402911,0.381207,0.370788,0.340181,0.313625
8,0.408115,0.397615,0.411424,0.377846,0.341781
8,0.407870,0.402748,0.420670,0.387868,0.352114
8,0.406328,0.403916,0.422490,0.391038,0.355183
8,0.405759,0.404579,0.423247,0.392498,0.356490
8,0.405267,0.404843,0.423310,0.392831,0.356648
8,0.404910,0.404959,0.423246,0.392957,0.356648
8,0.404694,0.405138,0.423249,0.393072,0.356721
8,0.404561,0.405208,0.423083,0.393011,0.356674
8,0.404058,0.405398,0.423219,0.393097,0.356680
8,0.403700,0.405490,0.423282,0.393145,0.356646
8,0.403476,0.405580,0.423297,0.393178,0.356625
8,0.403333,0.405616,0.423309,0.393209,0.356627
8,0.403163,0.405664,0.423350,0.393248,0.356666
8,0.403055,0.405697,0.423360,0.393268,0.356679
8,0.402824,0.405733,0.423359,0.393260,0.356666
8,0.402781,0.405766,0.423370,0.393269,0.356694
8,0.402778,0.405747,0.423341,0.393257,0.356727
8,0.402788,0.405699,0.423291,0.393230,0.356722
8,0.402802,0.405693,0.423263,0.393193,0.356705
8,0.402853,0.405650,0.423212,0.393148,0.356698
8,0.402884,0.405577,0.423128,0.393089,0.356665
8,0.402977,0.405527,0.423058,0.393049,0.356652
8,0.403063,0.405485,0.423000,0.393012,0.356631
8,0.403201,0.405389,0.422909,0.392972,0.356602
8,0.403317,0.405316,0.422803,0.392924,0.356575
8,0.403389,0.405288,0.422723,0.392875,0.356540
8,0.403475,0.405265,0.422693,0.392848,0.356512
8,0.403482,0.405231,0.422671,0.392824,0.356491
8,0.403479,0.405193,0.422660,0.392810,0.356481
8,0.403459,0.405174,0.422650,0.392791,0.356435
8,0.403447,0.405178,0.422637,0.392778,0.356392
8,0.403414,0.405179,0.422621,0.392766,0.356347
8,0.403402,0.405175,0.422590,0.392746,0.356324
8,0.403343,0.405178,0.422557,0.392716,0.356276
8,0.403289,0.405195,0.422542,0.392699,0.356252
8,0.403210,0.405217,0.422543,0.392695,0.356227
8,0.403157,0.405228,0.422547,0.392695,0.356204
8,0.403092,0.405224,0.422539,0.392685,0.356177
8,0.403066,0.405236,0.422538,0.392682,0.356169
8,0.403046,0.405228,0.422518,0.392656,0.356145
8,0.403027,0.405226,0.422507,0.392614,0.356067
8,0.402988,0.405218,0.422505,0.392573,0.356010
8,0.402936,0.405221,0.422504,0.392547,0.355973
8,0.402889,0.405199,0.422492,0.392523,0.355947
8,0.402858,0.405191,0.422491,0.392506,0.355936
8,0.402813,0.405186,0.422505,0.392499,0.355927
8,0.402792,0.405163,0.422515,0.392485,0.355919
8,0.402786,0.405140,0.422507,0.392462,0.355895
8,0.402755,0.405120,0.422487,0.392426,0.355857
8,0.402762,0.405111,0.422436,0.392388,0.355816
8,0.402749,0.405156,0.422403,0.392369,0.355769
8,0.402728,0.405205,0.422393,0.392360,0.355727
8,0.402717,0.405242,0.422378,0.392372,0.355711
8,0.402683,0.405289,0.422360,0.392392,0.355712
8,0.402639,0.405361,0.422342,0.392415,0.355725
8,0.402612,0.405460,0.422360,0.392462,0.355757
8,0.402557,0.405524,0.422378,0.392511,0.355789
8,0.402510,0.405564,0.422402,0.392553,0.355824
8,0.402477,0.405625,0.422453,0.392593,0.355856
8,0.402420,0.405674,0.422497,0.392617,0.355880
8,0.402387,0.405684,0.422521,0.392641,0.355903
8,0.402364,0.405727,0.422549,0.392656,0.355932
8,0.402355,0.405729,0.422553,0.392665,0.355934
8,0.402335,0.405751,0.422555,0.392665,0.355929
8,0.402319,0.405762,0.422575,0.392678,0.355931
8,0.402309,0.405778,0.422588,0.392694,0.355930
8,0.402287,0.405812,0.422604,0.392705,0.355924
8,0.402312,0.405834,0.422598,0.392697,0.355897
8,0.402349,0.405844,0.422585,0.392680,0.355886
8,0.402386,0.405841,0.422572,0.392666,0.355874
8,0.402426,0.405839,0.422561,0.392659,0.355861
8,0.402432,0.405833,0.422566,0.392669,0.355851
8,0.402438,0.405845,0.422571,0.392683,0.355848
8,0.402400,0.405842,0.422564,0.392682,0.355830
8,0.402374,0.405821,0.422537,0.392667,0.355797
8,0.402332,0.405810,0.422512,0.392651,0.355767
8,0.402275,0.405806,0.422505,0.392647,0.355756
8,0.402276,0.405825,0.422496,0.392639,0.355778
8,0.402274,0.405829,0.422487,0.392626,0.355798
8,0.402261,0.405838,0.422504,0.392621,0.355813
8,0.402205,0.405860,0.422537,0.392622,0.355841
8,0.402186,0.405874,0.422545,0.392605,0.355865
8,0.402181,0.405884,0.422550,0.392591,0.355880
8,0.402149,0.405873,0.422543,0.392575,0.355892
8,0.402112,0.405851,0.422534,0.392553,0.355878
8,0.402096,0.405844,0.422528,0.392535,0.355860
8,0.402082,0.405807,0.422509,0.392510,0.355844
8,0.402075,0.405766,0.422492,0.392485,0.355824
8,0.402076,0.405714,0.422478,0.392460,0.355810
8,0.402092,0.405661,0.422465,0.392433,0.355810
8,0.402093,0.405615,0.422455,0.392414,0.355809
