gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
4,0.177754,0.409760,0.427696,0.134741,0.140198
4,0.162072,0.413155,0.432289,0.137941,0.139593
4,0.157969,0.413436,0.432145,0.139418,0.138510
4,0.155452,0.413383,0.431672,0.140345,0.137758
4,0.154263,0.413354,0.431101,0.140832,0.137567
4,0.153572,0.413170,0.430478,0.141285,0.137429
4,0.153299,0.413070,0.430162,0.141449,0.137277
4,0.152824,0.412894,0.429947,0.141500,0.137191
4,0.152637,0.412817,0.429885,0.141525,0.137127
4,0.152416,0.412726,0.429797,0.141533,0.137082
4,0.152313,0.412670,0.429690,0.141555,0.137101
4,0.152195,0.412601,0.429584,0.141539,0.137091
4,0.152066,0.412582,0.429470,0.141521,0.137071
4,0.151931,0.412567,0.429386,0.141485,0.136985
4,0.151881,0.412554,0.429327,0.141450,0.136948
4,0.151815,0.412559,0.429282,0.141411,0.136900
4,0.151773,0.412534,0.429189,0.141360,0.136860
4,0.151749,0.412479,0.429105,0.141338,0.136840
4,0.151732,0.412412,0.429025,0.141278,0.136780
4,0.151720,0.412397,0.428960,0.141240,0.136741
4,0.151685,0.412414,0.428947,0.141216,0.136709
4,0.151636,0.412444,0.428946,0.141180,0.136655
4,0.151616,0.412509,0.428962,0.141148,0.136645
4,0.151597,0.412543,0.428951,0.141072,0.136589
4,0.151572,0.412567,0.428939,0.141008,0.136560
4,0.151566,0.412610,0.428954,0.140981,0.136543
4,0.151554,0.412632,0.428943,0.140943,0.136537
4,0.151565,0.412627,0.428942,0.140956,0.136546
4,0.151577,0.412652,0.428944,0.140971,0.136575
4,0.151592,0.412676,0.428952,0.140990,0.136601
4,0.151614,0.412699,0.428964,0.141016,0.136610
4,0.151632,0.412718,0.429001,0.141032,0.136628
4,0.151694,0.412774,0.429060,0.141041,0.136648
4,0.151719,0.412860,0.429134,0.141085,0.136684
4,0.151742,0.412930,0.429209,0.141116,0.136695
4,0.151734,0.412993,0.429304,0.141159,0.136700
4,0.151735,0.413046,0.429348,0.141193,0.136723
4,0.151740,0.413071,0.429352,0.141232,0.136749
4,0.151777,0.413075,0.429356,0.141246,0.136767
4,0.151789,0.413106,0.429357,0.141239,0.136764
4,0.151811,0.413118,0.429372,0.141251,0.136757
4,0.151838,0.413129,0.429389,0.141244,0.136754
4,0.151862,0.413099,0.429415,0.141243,0.136753
4,0.151873,0.413079,0.429423,0.141185,0.136703
4,0.151876,0.413045,0.429405,0.141185,0.136686
4,0.151923,0.413019,0.429389,0.141209,0.136705
4,0.151965,0.412993,0.429382,0.141219,0.136707
4,0.151995,0.413001,0.429396,0.141256,0.136731
4,0.152034,0.413014,0.429444,0.141297,0.136783
4,0.152074,0.413018,0.429491,0.141324,0.136821
4,0.152094,0.412989,0.429522,0.141409,0.136889
4,0.152093,0.412955,0.429551,0.141448,0.136930
4,0.152081,0.412970,0.429583,0.141463,0.136963
4,0.152061,0.412979,0.429572,0.141506,0.136988
4,0.152034,0.412985,0.429577,0.141537,0.137013
4,0.152004,0.413000,0.429582,0.141557,0.137042
4,0.151974,0.413112,0.429604,0.141561,0.137050
4,0.151974,0.413186,0.429617,0.141572,0.137054
4,0.151957,0.413236,0.429638,0.141566,0.137049
4,0.151933,0.413267,0.429626,0.141553,0.137045
4,0.151937,0.413326,0.429650,0.141545,0.137038
