gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
9,0.179746,0.412112,0.432502,0.367986,0.347146
9,0.187664,0.411213,0.427528,0.363137,0.349099
9,0.189613,0.410752,0.424261,0.359091,0.347679
9,0.190778,0.410384,0.422779,0.357058,0.346694
9,0.191265,0.410256,0.421978,0.355528,0.345891
9,0.191612,0.410269,0.421429,0.354493,0.345228
9,0.191916,0.410220,0.421071,0.353626,0.344775
9,0.192122,0.410105,0.420815,0.353134,0.344410
9,0.192260,0.410046,0.420609,0.352852,0.344118
9,0.192339,0.409932,0.420444,0.352562,0.343908
9,0.192390,0.409800,0.420333,0.352390,0.343776
9,0.192508,0.409620,0.420170,0.352130,0.343646
9,0.192655,0.409485,0.420073,0.351831,0.343578
9,0.192741,0.409388,0.420000,0.351686,0.343552
9,0.192799,0.409366,0.419921,0.351539,0.343538
9,0.192845,0.409343,0.419857,0.351415,0.343498
9,0.192901,0.409251,0.419742,0.351281,0.343469
9,0.192952,0.409155,0.419554,0.351233,0.343452
9,0.192991,0.409047,0.419352,0.351106,0.343498
9,0.193058,0.408981,0.419268,0.351043,0.343560
9,0.193088,0.408930,0.419235,0.350989,0.343623
9,0.193095,0.408899,0.419176,0.350939,0.343649
9,0.193057,0.408882,0.419129,0.350898,0.343687
9,0.193055,0.408833,0.419062,0.350777,0.343653
9,0.193017,0.408809,0.419027,0.350679,0.343631
9,0.192964,0.408804,0.418992,0.350560,0.343638
9,0.192921,0.408796,0.418984,0.350527,0.343671
9,0.192914,0.408787,0.418965,0.350504,0.343708
9,0.192917,0.408777,0.418956,0.350526,0.343762
9,0.192871,0.408775,0.418923,0.350459,0.343763
9,0.192827,0.408738,0.418896,0.350458,0.343751
9,0.192819,0.408699,0.418868,0.350446,0.343774
9,0.192894,0.408624,0.418823,0.350452,0.343789
9,0.192951,0.408588,0.418797,0.350459,0.343812
9,0.192963,0.408531,0.418760,0.350426,0.343832
9,0.192987,0.408472,0.418736,0.350383,0.343853
