gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
5,0.199623,0.398094,0.413014,0.385911,0.161212
5,0.199682,0.397488,0.413148,0.385878,0.165579
5,0.199866,0.396872,0.413117,0.385471,0.166784
5,0.199852,0.396368,0.412824,0.385102,0.167903
5,0.199684,0.395823,0.412371,0.384840,0.168365
5,0.199590,0.395334,0.411969,0.384674,0.168637
5,0.199529,0.395007,0.411715,0.384543,0.169176
5,0.199398,0.394664,0.411456,0.384354,0.169183
5,0.199432,0.394410,0.411272,0.384249,0.169317
5,0.199465,0.394209,0.411141,0.384113,0.169509
5,0.199385,0.394106,0.411057,0.384014,0.169439
5,0.199313,0.393967,0.410927,0.383876,0.169478
5,0.199233,0.393734,0.410715,0.383674,0.169412
5,0.199175,0.393509,0.410560,0.383568,0.169432
5,0.199124,0.393394,0.410355,0.383406,0.169306
5,0.199075,0.393317,0.410190,0.383256,0.169214
5,0.199028,0.393267,0.410105,0.383143,0.169199
5,0.198912,0.393212,0.410019,0.383003,0.169125
5,0.198843,0.393227,0.410023,0.382919,0.169148
5,0.198827,0.393247,0.410065,0.382898,0.169181
5,0.198807,0.393275,0.410108,0.382904,0.169280
5,0.198806,0.393288,0.410129,0.382898,0.169137
5,0.198799,0.393274,0.410139,0.382864,0.168977
5,0.198823,0.393215,0.410180,0.382886,0.169072
5,0.198845,0.393187,0.410209,0.382880,0.168983
5,0.198851,0.393243,0.410390,0.382999,0.168841
5,0.198847,0.393330,0.410557,0.383128,0.168770
5,0.198843,0.393369,0.410646,0.383207,0.168788
5,0.198880,0.393393,0.410673,0.383222,0.168855
5,0.198939,0.393476,0.410721,0.383250,0.168959
5,0.198962,0.393526,0.410735,0.383240,0.169060
5,0.198985,0.393660,0.410784,0.383272,0.169117
5,0.199019,0.393712,0.410806,0.383260,0.169235
5,0.199010,0.393720,0.410742,0.383144,0.169217
5,0.198995,0.393757,0.410749,0.383081,0.169158
5,0.199019,0.393779,0.410713,0.382916,0.169183
5,0.199028,0.393799,0.410691,0.382759,0.169242
5,0.199022,0.393786,0.410644,0.382630,0.169218
5,0.199008,0.393788,0.410611,0.382553,0.169130
5,0.198987,0.393799,0.410619,0.382549,0.169089
5,0.198959,0.393800,0.410638,0.382516,0.169093
5,0.198959,0.393815,0.410661,0.382456,0.168989
5,0.198915,0.393846,0.410723,0.382471,0.168698
5,0.198879,0.393868,0.410751,0.382430,0.168638
5,0.198872,0.393908,0.410802,0.382444,0.168605
5,0.198863,0.393933,0.410819,0.382469,0.168583
5,0.198863,0.393938,0.410835,0.382444,0.168540
5,0.198883,0.393954,0.410906,0.382419,0.168641
5,0.198849,0.393945,0.410952,0.382440,0.168715
5,0.198721,0.393940,0.410991,0.382527,0.168686
5,0.198617,0.393908,0.411040,0.382651,0.168707
5,0.198592,0.393874,0.411040,0.382718,0.168720
5,0.198584,0.393776,0.410989,0.382728,0.168696
5,0.198569,0.393751,0.410994,0.382813,0.168726
5,0.198597,0.393713,0.411018,0.382913,0.168740
5,0.198624,0.393670,0.410998,0.382976,0.168729
5,0.198677,0.393628,0.410974,0.383007,0.168793
5,0.198714,0.393581,0.410871,0.383014,0.168912
5,0.198766,0.393554,0.410780,0.383018,0.168991
5,0.198786,0.393554,0.410736,0.383001,0.169021
5,0.198797,0.393554,0.410652,0.382958,0.169047
5,0.198808,0.393499,0.410527,0.382804,0.169177
5,0.198822,0.393446,0.410376,0.382655,0.169278
5,0.198838,0.393394,0.410109,0.382369,0.169307
5,0.198859,0.393383,0.409857,0.382112,0.169288
5,0.198903,0.393369,0.409540,0.381715,0.169120
5,0.198977,0.393330,0.409296,0.381335,0.169137
5,0.199075,0.393335,0.409145,0.381115,0.168993
5,0.199145,0.393324,0.408994,0.380868,0.168885
5,0.199211,0.393342,0.408889,0.380677,0.168838
5,0.199255,0.393336,0.408780,0.380503,0.168814
