gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
3,0.362081,0.297445,0.107793,0.121479,0.134871
3,0.390231,0.355229,0.110884,0.128146,0.140112
3,0.392669,0.362334,0.110481,0.130172,0.142093
3,0.392948,0.362667,0.110601,0.131147,0.142856
3,0.392870,0.362355,0.110321,0.131365,0.143260
3,0.392669,0.361915,0.110140,0.131614,0.143720
3,0.392568,0.361410,0.109968,0.131674,0.143925
3,0.392407,0.360924,0.109886,0.131634,0.143961
3,0.392266,0.360506,0.109802,0.131592,0.143985
3,0.392181,0.360319,0.109768,0.131581,0.143999
3,0.392084,0.360243,0.109759,0.131587,0.144021
3,0.391926,0.360170,0.109714,0.131554,0.144036
3,0.391848,0.360143,0.109696,0.131549,0.144067
3,0.391840,0.360156,0.109699,0.131574,0.144100
3,0.391812,0.360126,0.109711,0.131621,0.144136
3,0.391806,0.360119,0.109734,0.131664,0.144178
3,0.391767,0.360109,0.109793,0.131713,0.144217
3,0.391819,0.360200,0.109868,0.131726,0.144226
3,0.391827,0.360212,0.109916,0.131738,0.144228
3,0.391793,0.360231,0.109953,0.131774,0.144244
3,0.391768,0.360317,0.110027,0.131824,0.144271
3,0.391678,0.360296,0.110029,0.131831,0.144258
3,0.391621,0.360294,0.110032,0.131831,0.144256
3,0.391537,0.360276,0.110036,0.131853,0.144268
3,0.391463,0.360225,0.110051,0.131874,0.144280
3,0.391429,0.360228,0.110060,0.131897,0.144291
3,0.391454,0.360234,0.110084,0.131930,0.144298
3,0.391454,0.360184,0.110086,0.131931,0.144285
3,0.391509,0.360204,0.110085,0.131939,0.144288
3,0.391589,0.360242,0.110085,0.131945,0.144292
3,0.391649,0.360277,0.110070,0.131941,0.144287
3,0.391686,0.360366,0.110073,0.131929,0.144268
3,0.391654,0.360396,0.110049,0.131895,0.144236
3,0.391655,0.360406,0.110038,0.131880,0.144210
3,0.391668,0.360408,0.110017,0.131862,0.144196
3,0.391697,0.360381,0.110002,0.131851,0.144184
3,0.391758,0.360332,0.110000,0.131849,0.144174
3,0.391778,0.360277,0.110032,0.131878,0.144181
3,0.391809,0.360286,0.110059,0.131897,0.144184
3,0.391836,0.360266,0.110081,0.131912,0.144190
3,0.391888,0.360253,0.110120,0.131947,0.144201
3,0.391884,0.360225,0.110158,0.131977,0.144201
3,0.391882,0.360202,0.110196,0.131999,0.144187
3,0.391880,0.360162,0.110214,0.132005,0.144162
3,0.391858,0.360158,0.110243,0.132015,0.144158
