gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
8,0.322857,0.416346,0.443518,0.407882,0.357787
8,0.322951,0.416506,0.443792,0.408083,0.357893
8,0.323053,0.416583,0.443908,0.408184,0.357954
8,0.323160,0.416655,0.443998,0.408277,0.358000
8,0.323256,0.416673,0.444028,0.408317,0.357996
8,0.323260,0.416657,0.444039,0.408352,0.357991
8,0.323254,0.416671,0.443998,0.408363,0.357978
8,0.323255,0.416664,0.443961,0.408391,0.357991
8,0.323271,0.416661,0.443926,0.408385,0.357963
8,0.323278,0.416644,0.443885,0.408379,0.357953
8,0.323239,0.416602,0.443836,0.408382,0.357925
8,0.323167,0.416544,0.443780,0.408380,0.357880
8,0.323098,0.416495,0.443709,0.408355,0.357826
8,0.323015,0.416395,0.443613,0.408324,0.357764
8,0.322972,0.416309,0.443521,0.408280,0.357695
8,0.322901,0.416292,0.443452,0.408229,0.357631
8,0.322821,0.416251,0.443358,0.408171,0.357554
8,0.322740,0.416207,0.443263,0.408115,0.357484
8,0.322667,0.416173,0.443206,0.408077,0.357452
8,0.322577,0.416128,0.443146,0.408038,0.357410
8,0.322461,0.416053,0.443046,0.407980,0.357333
8,0.322334,0.415933,0.442974,0.407935,0.357288
8,0.322230,0.415872,0.442907,0.407890,0.357253
8,0.322152,0.415819,0.442893,0.407860,0.357215
8,0.322097,0.415776,0.442859,0.407831,0.357188
8,0.322050,0.415770,0.442827,0.407808,0.357158
8,0.322033,0.415760,0.442843,0.407815,0.357158
8,0.322021,0.415731,0.442876,0.407829,0.357163
8,0.322032,0.415722,0.442914,0.407846,0.357182
8,0.322031,0.415724,0.442934,0.407869,0.357185
8,0.321972,0.415738,0.442972,0.407909,0.357203
8,0.321860,0.415723,0.442978,0.407925,0.357214
8,0.321771,0.415761,0.442981,0.407961,0.357217
8,0.321647,0.415891,0.443022,0.408061,0.357280
8,0.321590,0.415962,0.443034,0.408138,0.357350
8,0.321491,0.416005,0.443037,0.408189,0.357445
8,0.321401,0.416029,0.443071,0.408236,0.357485
8,0.321319,0.416049,0.443113,0.408291,0.357528
8,0.321216,0.416038,0.443156,0.408316,0.357554
8,0.321083,0.416040,0.443181,0.408334,0.357579
8,0.321009,0.416062,0.443203,0.408366,0.357590
8,0.320940,0.416060,0.443209,0.408376,0.357585
8,0.320895,0.416053,0.443196,0.408376,0.357564
8,0.320825,0.415987,0.443155,0.408350,0.357529
8,0.320767,0.415934,0.443118,0.408323,0.357499
8,0.320694,0.415893,0.443050,0.408285,0.357452
8,0.320574,0.415872,0.442989,0.408253,0.357413
8,0.320495,0.415834,0.442961,0.408230,0.357367
8,0.320432,0.415775,0.442923,0.408165,0.357317
8,0.320365,0.415627,0.442832,0.408065,0.357229
8,0.320291,0.415543,0.442757,0.407980,0.357160
8,0.320255,0.415455,0.442679,0.407896,0.357105
8,0.320227,0.415366,0.442600,0.407839,0.357069
8,0.320187,0.415313,0.442543,0.407797,0.357025
8,0.320120,0.415230,0.442470,0.407750,0.356985
8,0.320054,0.415201,0.442445,0.407732,0.356969
8,0.320021,0.415195,0.442418,0.407706,0.356950
8,0.319988,0.415192,0.442390,0.407674,0.356930
8,0.319948,0.415208,0.442368,0.407635,0.356924
8,0.319884,0.415185,0.442356,0.407595,0.356917
8,0.319817,0.415156,0.442316,0.407531,0.356867
8,0.319739,0.415129,0.442297,0.407503,0.356848
8,0.319630,0.415104,0.442250,0.407457,0.356821
8,0.319554,0.415062,0.442201,0.407405,0.356800
8,0.319443,0.415063,0.442182,0.407379,0.356783
8,0.319355,0.415030,0.442155,0.407349,0.356762
8,0.319284,0.415019,0.442125,0.407296,0.356726
8,0.319186,0.414979,0.442082,0.407260,0.356709
8,0.319086,0.414988,0.442016,0.407208,0.356684
8,0.318997,0.415004,0.441959,0.407151,0.356665
8,0.318911,0.414946,0.441901,0.407129,0.356654
8,0.318840,0.414967,0.441889,0.407114,0.356665
8,0.318792,0.414980,0.441870,0.407097,0.356674
8,0.318750,0.414973,0.441837,0.407067,0.356670
8,0.318713,0.414955,0.441786,0.407048,0.356665
8,0.318654,0.414912,0.441709,0.406993,0.356635
8,0.318576,0.414863,0.441670,0.406965,0.356609
8,0.318482,0.414787,0.441625,0.406946,0.356569
8,0.318395,0.414763,0.441610,0.406935,0.356520
8,0.318358,0.414739,0.441581,0.406926,0.356490
8,0.318305,0.414722,0.441559,0.406907,0.356452
8,0.318240,0.414705,0.441519,0.406886,0.356406
8,0.318213,0.414678,0.441479,0.406827,0.356334
8,0.318160,0.414648,0.441438,0.406774,0.356261
8,0.318118,0.414597,0.441378,0.406714,0.356199
8,0.318066,0.414532,0.441317,0.406641,0.356138
8,0.318038,0.414441,0.441242,0.406577,0.356082
8,0.317999,0.414374,0.441129,0.406478,0.356010
8,0.317977,0.414321,0.441038,0.406394,0.355939
8,0.317974,0.414264,0.440947,0.406286,0.355850
8,0.317956,0.414214,0.440879,0.406202,0.355783
8,0.317932,0.414173,0.440811,0.406133,0.355716
8,0.317878,0.414128,0.440760,0.406082,0.355670
8,0.317846,0.414088,0.440713,0.406035,0.355625
8,0.317812,0.414070,0.440668,0.405986,0.355577
8,0.317742,0.414057,0.440650,0.405977,0.355537
8,0.317666,0.414027,0.440630,0.405960,0.355484
8,0.317628,0.414003,0.440590,0.405935,0.355444
8,0.317554,0.413955,0.440527,0.405911,0.355399
8,0.317468,0.413940,0.440458,0.405891,0.355351
8,0.317399,0.413913,0.440374,0.405853,0.355311
8,0.317266,0.413889,0.440272,0.405822,0.355271
8,0.317148,0.413888,0.440190,0.405782,0.355227
8,0.317062,0.413826,0.440141,0.405752,0.355191
8,0.316920,0.413789,0.440059,0.405731,0.355166
8,0.316822,0.413828,0.440044,0.405729,0.355184
8,0.316724,0.413868,0.440024,0.405728,0.355221
8,0.316643,0.413884,0.440001,0.405716,0.355233
8,0.316570,0.413899,0.439991,0.405702,0.355247
8,0.316483,0.413929,0.439989,0.405687,0.355243
8,0.316398,0.414017,0.439985,0.405690,0.355235
8,0.316310,0.414051,0.439950,0.405662,0.355205
8,0.316245,0.414073,0.439921,0.405655,0.355175
8,0.316152,0.414112,0.439885,0.405647,0.355159
8,0.316087,0.414135,0.439834,0.405619,0.355136
8,0.316044,0.414114,0.439736,0.405557,0.355088
8,0.316020,0.414075,0.439680,0.405519,0.355049
8,0.315970,0.414055,0.439640,0.405493,0.355019
8,0.315899,0.414085,0.439628,0.405494,0.355010
8,0.315823,0.414091,0.439627,0.405487,0.354995
8,0.315771,0.414082,0.439622,0.405469,0.354979
8,0.315707,0.414056,0.439590,0.405440,0.354944
8,0.315702,0.413991,0.439544,0.405402,0.354907
8,0.315684,0.413979,0.439499,0.405384,0.354890
8,0.315633,0.413977,0.439494,0.405374,0.354882
8,0.315585,0.413966,0.439486,0.405351,0.354861
8,0.315555,0.413930,0.439487,0.405347,0.354827
8,0.315516,0.413874,0.439452,0.405324,0.354793
8,0.315457,0.413815,0.439410,0.405305,0.354762
8,0.315388,0.413792,0.439375,0.405299,0.354756
8,0.315293,0.413768,0.439342,0.405286,0.354749
8,0.315268,0.413726,0.439255,0.405224,0.354726
8,0.315230,0.413709,0.439158,0.405170,0.354690
8,0.315186,0.413658,0.439022,0.405082,0.354623
8,0.315161,0.413674,0.438921,0.405006,0.354582
8,0.315129,0.413679,0.438853,0.404971,0.354562
