gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
4,0.242301,0.380083,0.146858,0.119700,0.144630
4,0.185156,0.398206,0.276801,0.126627,0.139802
4,0.186972,0.400246,0.364825,0.136595,0.140157
4,0.194861,0.400558,0.379646,0.142048,0.139630
4,0.196907,0.398059,0.383770,0.147087,0.140611
4,0.196560,0.394769,0.385571,0.151737,0.142028
4,0.195604,0.392037,0.385356,0.155107,0.143405
4,0.194465,0.390854,0.385471,0.158070,0.144857
4,0.193410,0.389746,0.385300,0.160291,0.145720
4,0.193001,0.388994,0.385247,0.161979,0.146741
4,0.192818,0.388733,0.385538,0.163459,0.147742
4,0.192753,0.388636,0.385899,0.164198,0.148234
4,0.192633,0.388492,0.386054,0.164876,0.148654
4,0.192570,0.388397,0.386164,0.165388,0.148961
4,0.192502,0.388348,0.386332,0.165630,0.149094
4,0.192457,0.388366,0.386369,0.165838,0.149245
4,0.192456,0.388374,0.386449,0.166127,0.149446
4,0.192503,0.388392,0.386488,0.166364,0.149601
4,0.192514,0.388411,0.386560,0.166604,0.149753
4,0.192536,0.388434,0.386642,0.166738,0.149838
4,0.192556,0.388465,0.386808,0.166841,0.149879
4,0.192562,0.388506,0.387002,0.167005,0.149945
4,0.192570,0.388551,0.387225,0.167103,0.149985
4,0.192591,0.388621,0.387394,0.167213,0.149999
4,0.192601,0.388705,0.387597,0.167250,0.149982
4,0.192637,0.388736,0.387752,0.167265,0.149952
4,0.192772,0.388838,0.387873,0.167257,0.149894
4,0.192858,0.388912,0.387925,0.167159,0.149809
4,0.192912,0.388976,0.387992,0.167065,0.149728
4,0.192934,0.389017,0.388081,0.167009,0.149672
4,0.192923,0.389011,0.388159,0.166982,0.149635
4,0.192934,0.389044,0.388227,0.166954,0.149607
4,0.192951,0.389111,0.388284,0.166940,0.149582
4,0.192940,0.389136,0.388322,0.166925,0.149542
4,0.192933,0.389148,0.388363,0.166903,0.149512
4,0.192929,0.389173,0.388357,0.166824,0.149441
4,0.192930,0.389224,0.388357,0.166713,0.149371
4,0.192963,0.389254,0.388338,0.166636,0.149315
4,0.192980,0.389253,0.388267,0.166592,0.149299
4,0.192995,0.389246,0.388222,0.166439,0.149211
4,0.192990,0.389256,0.388193,0.166349,0.149153
4,0.193004,0.389230,0.388140,0.166258,0.149098
4,0.193013,0.389187,0.388099,0.166242,0.149088
4,0.193014,0.389166,0.388096,0.166239,0.149108
4,0.193061,0.389177,0.388035,0.166234,0.149140
4,0.193068,0.389216,0.387972,0.166228,0.149136
4,0.193096,0.389242,0.387945,0.166261,0.149169
4,0.193153,0.389259,0.387894,0.166290,0.149200
4,0.193231,0.389275,0.387878,0.166332,0.149254
4,0.193297,0.389311,0.387909,0.166421,0.149336
4,0.193356,0.389380,0.387957,0.166533,0.149425
4,0.193390,0.389388,0.387963,0.166578,0.149459
4,0.193476,0.389401,0.387980,0.166597,0.149479
4,0.193546,0.389387,0.388002,0.166624,0.149526
4,0.193601,0.389400,0.388016,0.166663,0.149573
4,0.193620,0.389354,0.388052,0.166749,0.149631
4,0.193667,0.389325,0.388036,0.166803,0.149695
4,0.193720,0.389313,0.388030,0.166843,0.149755
4,0.193734,0.389252,0.388022,0.166798,0.149761
4,0.193743,0.389224,0.387958,0.166772,0.149803
4,0.193700,0.389243,0.387896,0.166775,0.149813
4,0.193640,0.389379,0.387861,0.166750,0.149774
4,0.193612,0.389478,0.387861,0.166757,0.149755
4,0.193602,0.389598,0.387849,0.166798,0.149787
4,0.193586,0.389684,0.387856,0.166824,0.149803
4,0.193621,0.389733,0.387831,0.166839,0.149806
4,0.193626,0.389759,0.387828,0.166877,0.149817
4,0.193633,0.389859,0.387902,0.166932,0.149841
4,0.193627,0.389939,0.387930,0.166971,0.149864
4,0.193634,0.390026,0.388071,0.167028,0.149883
4,0.193693,0.390073,0.388169,0.167087,0.149902
4,0.193781,0.390081,0.388191,0.167111,0.149924
