gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
0,0.202967,0.117536,0.118556,0.135738,0.154729
0,0.207219,0.121912,0.121235,0.138072,0.176338
0,0.208114,0.123426,0.121566,0.138507,0.182808
0,0.209620,0.124460,0.121294,0.138938,0.185775
0,0.211380,0.124749,0.121525,0.139847,0.187801
0,0.213387,0.124938,0.121556,0.140159,0.189063
0,0.215002,0.125110,0.121568,0.140406,0.189492
0,0.216414,0.125189,0.121610,0.140586,0.189637
0,0.217958,0.125296,0.121654,0.140839,0.189610
0,0.220129,0.125445,0.121680,0.141131,0.189254
0,0.221087,0.125558,0.121729,0.141380,0.188704
0,0.221719,0.125713,0.121786,0.141671,0.188422
0,0.222576,0.125867,0.121833,0.141934,0.187869
0,0.222929,0.125977,0.121823,0.142059,0.187661
0,0.223050,0.126049,0.121872,0.142192,0.187809
0,0.223306,0.126128,0.121962,0.142326,0.187882
0,0.223485,0.126246,0.122044,0.142451,0.187930
0,0.223690,0.126302,0.122088,0.142520,0.187887
0,0.223790,0.126417,0.122193,0.142617,0.187912
0,0.223972,0.126462,0.122287,0.142717,0.188009
0,0.223993,0.126487,0.122343,0.142751,0.188115
0,0.224057,0.126545,0.122413,0.142761,0.188136
0,0.224303,0.126644,0.122522,0.142836,0.188297
0,0.224504,0.126765,0.122633,0.142919,0.188431
0,0.224680,0.126799,0.122726,0.142980,0.188701
0,0.224731,0.126913,0.122859,0.143029,0.188834
0,0.224908,0.126965,0.122923,0.143058,0.188872
0,0.225179,0.127089,0.123035,0.143148,0.188775
0,0.225175,0.127230,0.123084,0.143190,0.188505
0,0.225233,0.127292,0.123032,0.143182,0.188305
0,0.225227,0.127362,0.123030,0.143190,0.188017
0,0.225193,0.127413,0.123047,0.143228,0.187811
0,0.225222,0.127447,0.123071,0.143264,0.187763
0,0.225201,0.127481,0.123108,0.143301,0.187738
0,0.225154,0.127487,0.123113,0.143297,0.187799
0,0.224999,0.127452,0.123063,0.143250,0.187858
0,0.224923,0.127442,0.123050,0.143233,0.187883
0,0.224942,0.127442,0.123047,0.143243,0.187980
0,0.224978,0.127447,0.123030,0.143251,0.188015
0,0.224932,0.127459,0.123044,0.143265,0.188074
0,0.224956,0.127525,0.123030,0.143275,0.188093
0,0.225236,0.127568,0.123046,0.143308,0.187964
0,0.225450,0.127588,0.123050,0.143309,0.187727
0,0.225473,0.127631,0.123042,0.143333,0.187357
0,0.225532,0.127666,0.123096,0.143388,0.187209
0,0.225524,0.127669,0.123109,0.143395,0.187162
0,0.225523,0.127662,0.123130,0.143410,0.187173
0,0.225537,0.127705,0.123189,0.143452,0.187230
0,0.225475,0.127700,0.123164,0.143409,0.187438
0,0.225462,0.127679,0.123129,0.143345,0.187637
0,0.225199,0.127648,0.123129,0.143286,0.187966
0,0.225158,0.127647,0.123163,0.143297,0.188096
0,0.225168,0.127684,0.123220,0.143326,0.188235
0,0.225236,0.127695,0.123250,0.143345,0.188311
0,0.225274,0.127702,0.123261,0.143335,0.188307
0,0.225409,0.127795,0.123323,0.143379,0.188304
0,0.225603,0.127858,0.123405,0.143445,0.188215
0,0.225817,0.127925,0.123493,0.143519,0.188065
0,0.226110,0.127974,0.123550,0.143570,0.187936
0,0.226337,0.127950,0.123560,0.143581,0.187768
0,0.226680,0.127967,0.123601,0.143600,0.187667
0,0.226991,0.127987,0.123633,0.143631,0.187437
0,0.227115,0.128027,0.123657,0.143656,0.187239
0,0.227253,0.128084,0.123683,0.143689,0.187098
0,0.227302,0.128140,0.123718,0.143711,0.186963
0,0.227648,0.128172,0.123756,0.143748,0.186839
0,0.227815,0.128193,0.123752,0.143718,0.186734
0,0.228080,0.128155,0.123695,0.143666,0.186479
0,0.228212,0.128123,0.123648,0.143625,0.186320
0,0.228298,0.128093,0.123619,0.143571,0.186279
0,0.228406,0.128054,0.123587,0.143531,0.186238
0,0.228441,0.128047,0.123574,0.143515,0.186221
0,0.228459,0.128070,0.123577,0.143525,0.186143
0,0.228445,0.128078,0.123565,0.143512,0.186037
0,0.228396,0.128084,0.123556,0.143503,0.186011
0,0.228443,0.128081,0.123542,0.143495,0.185882
0,0.228492,0.128064,0.123532,0.143489,0.185735
0,0.228515,0.128050,0.123542,0.143487,0.185688
0,0.228502,0.128038,0.123550,0.143487,0.185653
0,0.228451,0.128013,0.123536,0.143474,0.185641
0,0.228443,0.128000,0.123513,0.143465,0.185637
0,0.228391,0.127987,0.123494,0.143448,0.185742
0,0.228299,0.127977,0.123468,0.143425,0.185752
0,0.228030,0.127957,0.123387,0.143360,0.185791
0,0.227830,0.127919,0.123333,0.143304,0.185881
0,0.227769,0.127921,0.123310,0.143284,0.185941
0,0.227661,0.127876,0.123249,0.143210,0.186035
0,0.227491,0.127865,0.123203,0.143170,0.186052
0,0.227417,0.127853,0.123151,0.143142,0.186025
0,0.227496,0.127849,0.123128,0.143150,0.185988
0,0.227486,0.127810,0.123077,0.143110,0.185997
0,0.227363,0.127766,0.123060,0.143106,0.186031
0,0.227169,0.127748,0.123053,0.143103,0.186109
0,0.227110,0.127747,0.123102,0.143148,0.186130
0,0.227141,0.127750,0.123116,0.143168,0.186166
