gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
7,0.305574,0.388610,0.134171,0.139168,0.290033
7,0.307987,0.384096,0.133071,0.142003,0.304329
7,0.308340,0.380957,0.134227,0.143402,0.309603
7,0.308240,0.378383,0.134677,0.144319,0.310286
7,0.307956,0.376915,0.135015,0.144824,0.310720
7,0.307859,0.376036,0.134875,0.144926,0.310603
7,0.307776,0.375547,0.134982,0.144996,0.310469
7,0.307599,0.375066,0.135154,0.145013,0.310239
7,0.307377,0.374898,0.135150,0.144981,0.309845
7,0.307183,0.374969,0.135118,0.144949,0.309244
7,0.306930,0.375023,0.135084,0.144873,0.309175
7,0.306704,0.375011,0.134985,0.144677,0.308950
7,0.306688,0.374992,0.134766,0.144588,0.308844
7,0.306685,0.374879,0.134611,0.144500,0.308550
7,0.306709,0.374698,0.134602,0.144434,0.308426
7,0.306702,0.374476,0.134591,0.144377,0.308273
7,0.306745,0.374070,0.134702,0.144321,0.308420
7,0.306714,0.373670,0.134672,0.144242,0.308309
7,0.306753,0.373583,0.134809,0.144290,0.308579
7,0.306775,0.373527,0.134890,0.144293,0.308670
7,0.306823,0.373580,0.134982,0.144351,0.308543
7,0.306834,0.373610,0.135222,0.144277,0.308149
7,0.306855,0.373546,0.135198,0.144166,0.307843
7,0.306788,0.373456,0.134927,0.144134,0.307705
7,0.306693,0.373328,0.134591,0.144065,0.307850
7,0.306618,0.373187,0.134380,0.144135,0.307964
7,0.306536,0.373142,0.134267,0.144184,0.307972
7,0.306479,0.373123,0.134185,0.144087,0.307925
7,0.306358,0.373366,0.134214,0.144242,0.308006
7,0.306235,0.373627,0.134232,0.144303,0.307985
7,0.305926,0.373631,0.134097,0.144308,0.308024
7,0.305725,0.373736,0.133665,0.144216,0.308189
7,0.305633,0.373758,0.133199,0.144121,0.308179
7,0.305579,0.373783,0.132698,0.143971,0.308150
7,0.305492,0.373819,0.132467,0.143864,0.307907
7,0.305371,0.373813,0.132369,0.143830,0.307718
7,0.305266,0.373854,0.132364,0.143827,0.307739
7,0.305185,0.373915,0.132349,0.143830,0.307752
7,0.305116,0.373992,0.132358,0.143850,0.307661
7,0.305060,0.374119,0.132333,0.143892,0.307677
7,0.304997,0.374284,0.132312,0.143948,0.307853
7,0.304913,0.374485,0.132107,0.143946,0.307817
7,0.304838,0.374656,0.132003,0.144029,0.307811
7,0.304777,0.374867,0.131863,0.144009,0.307623
7,0.304707,0.374938,0.131518,0.143918,0.307414
7,0.304643,0.375003,0.131256,0.143862,0.307380
7,0.304635,0.375055,0.131122,0.143893,0.307182
7,0.304637,0.375123,0.130944,0.143872,0.307145
7,0.304654,0.375272,0.130689,0.143847,0.307039
7,0.304666,0.375397,0.130461,0.143837,0.307094
7,0.304682,0.375543,0.130285,0.143816,0.307177
7,0.304700,0.375610,0.130195,0.143841,0.307295
7,0.304731,0.375623,0.130103,0.143880,0.307622
7,0.304732,0.375648,0.130049,0.143911,0.308009
7,0.304755,0.375648,0.129966,0.143908,0.308120
7,0.304766,0.375634,0.129914,0.143923,0.308312
7,0.304790,0.375671,0.129924,0.144002,0.308431
7,0.304793,0.375660,0.129943,0.144068,0.308589
7,0.304833,0.375649,0.129981,0.144113,0.308804
7,0.304908,0.375628,0.129846,0.144177,0.309055
7,0.304960,0.375487,0.129585,0.144242,0.309350
7,0.305038,0.375333,0.129419,0.144340,0.309641
7,0.305030,0.374957,0.129289,0.144414,0.309953
7,0.305001,0.374579,0.129266,0.144408,0.310074
7,0.304947,0.374444,0.129262,0.144422,0.310036
7,0.304862,0.374379,0.129234,0.144420,0.309889
7,0.304725,0.374279,0.129133,0.144367,0.309710
7,0.304617,0.374259,0.129070,0.144335,0.309718
7,0.304562,0.374272,0.129105,0.144300,0.309723
