gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
3,0.334982,0.381446,0.116277,0.122617,0.129531
3,0.334627,0.376601,0.112252,0.125206,0.135561
3,0.334913,0.375301,0.112394,0.126319,0.136980
3,0.335200,0.375059,0.112306,0.126703,0.137808
3,0.335641,0.375066,0.112346,0.126671,0.138165
3,0.336129,0.375126,0.112337,0.126593,0.138518
3,0.336543,0.375190,0.112332,0.126596,0.138838
3,0.336927,0.375263,0.112278,0.126589,0.139106
3,0.337150,0.375355,0.112276,0.126614,0.139363
3,0.337537,0.375292,0.112223,0.126578,0.139561
3,0.337816,0.375234,0.112199,0.126561,0.139753
3,0.338111,0.375230,0.112191,0.126579,0.139924
3,0.338256,0.375320,0.112205,0.126657,0.140065
3,0.338502,0.375506,0.112313,0.126780,0.140221
3,0.338712,0.375665,0.112430,0.126872,0.140352
3,0.338737,0.375728,0.112516,0.126944,0.140474
3,0.338787,0.375896,0.112593,0.127009,0.140544
3,0.338799,0.376004,0.112660,0.127079,0.140625
3,0.338889,0.376108,0.112725,0.127153,0.140688
3,0.338925,0.376212,0.112781,0.127232,0.140753
3,0.338923,0.376279,0.112810,0.127278,0.140811
3,0.338970,0.376387,0.112816,0.127326,0.140861
3,0.339073,0.376519,0.112829,0.127371,0.140923
3,0.339183,0.376620,0.112844,0.127422,0.140972
3,0.339269,0.376679,0.112841,0.127457,0.140994
3,0.339395,0.376750,0.112882,0.127513,0.141034
3,0.339463,0.376780,0.112898,0.127529,0.141065
3,0.339525,0.376748,0.112899,0.127549,0.141087
3,0.339542,0.376711,0.112875,0.127551,0.141092
3,0.339563,0.376742,0.112857,0.127571,0.141085
3,0.339626,0.376692,0.112871,0.127598,0.141094
3,0.339683,0.376644,0.112880,0.127618,0.141094
3,0.339757,0.376639,0.112893,0.127625,0.141120
3,0.339794,0.376693,0.112900,0.127619,0.141127
3,0.339817,0.376751,0.112930,0.127641,0.141164
3,0.339798,0.376838,0.112941,0.127652,0.141210
3,0.339841,0.376811,0.112957,0.127672,0.141267
3,0.339881,0.376802,0.112975,0.127710,0.141319
3,0.339864,0.376823,0.113006,0.127735,0.141365
3,0.339844,0.376825,0.113027,0.127766,0.141421
3,0.339842,0.376863,0.113058,0.127809,0.141466
3,0.339972,0.376874,0.113103,0.127864,0.141469
3,0.340145,0.376900,0.113131,0.127917,0.141487
3,0.340345,0.376935,0.113167,0.128024,0.141559
3,0.340504,0.377009,0.113204,0.128066,0.141613
3,0.340610,0.377079,0.113206,0.128105,0.141659
3,0.340664,0.377087,0.113181,0.128110,0.141676
3,0.340767,0.377069,0.113145,0.128117,0.141666
3,0.340818,0.377066,0.113140,0.128131,0.141657
3,0.340898,0.377096,0.113148,0.128152,0.141647
3,0.340918,0.377091,0.113175,0.128159,0.141594
3,0.340892,0.377103,0.113247,0.128171,0.141548
3,0.340711,0.377280,0.113265,0.128151,0.141531
3,0.340653,0.377414,0.113245,0.128103,0.141463
3,0.340703,0.377567,0.113226,0.128058,0.141419
3,0.340740,0.377705,0.113215,0.128048,0.141412
3,0.340770,0.377836,0.113214,0.128058,0.141412
3,0.340796,0.377931,0.113232,0.128095,0.141407
3,0.340833,0.377995,0.113263,0.128129,0.141378
3,0.340900,0.378024,0.113283,0.128155,0.141347
3,0.341022,0.378086,0.113311,0.128209,0.141360
3,0.341089,0.378115,0.113306,0.128229,0.141365
3,0.341188,0.378153,0.113315,0.128253,0.141405
3,0.341243,0.378206,0.113343,0.128292,0.141475
3,0.341288,0.378256,0.113350,0.128324,0.141527
3,0.341305,0.378329,0.113369,0.128360,0.141555
3,0.341361,0.378351,0.113381,0.128387,0.141547
3,0.341345,0.378411,0.113387,0.128415,0.141564
3,0.341346,0.378397,0.113372,0.128436,0.141569
3,0.341365,0.378403,0.113392,0.128460,0.141580
3,0.341370,0.378425,0.113367,0.128463,0.141593
3,0.341416,0.378458,0.113352,0.128457,0.141612
3,0.341415,0.378505,0.113324,0.128442,0.141599
3,0.341412,0.378491,0.113294,0.128441,0.141594
3,0.341419,0.378477,0.113292,0.128417,0.141584
3,0.341420,0.378466,0.113268,0.128411,0.141560
3,0.341408,0.378451,0.113273,0.128412,0.141559
3,0.341346,0.378425,0.113294,0.128417,0.141560
3,0.340911,0.378343,0.113339,0.128404,0.141562
3,0.340788,0.378418,0.113408,0.128418,0.141566
3,0.340677,0.378494,0.113483,0.128444,0.141574
3,0.340685,0.378563,0.113533,0.128478,0.141598
3,0.340627,0.378605,0.113574,0.128503,0.141605
3,0.340607,0.378603,0.113612,0.128525,0.141617
3,0.340607,0.378616,0.113645,0.128541,0.141631
3,0.340602,0.378602,0.113667,0.128549,0.141649
3,0.340656,0.378613,0.113696,0.128589,0.141664
3,0.340672,0.378572,0.113722,0.128610,0.141673
3,0.340688,0.378561,0.113734,0.128650,0.141688
3,0.340705,0.378546,0.113743,0.128677,0.141693
3,0.340700,0.378525,0.113767,0.128723,0.141713
3,0.340699,0.378534,0.113794,0.128763,0.141719
3,0.340705,0.378582,0.113807,0.128789,0.141728
3,0.340723,0.378615,0.113834,0.128830,0.141736
3,0.340723,0.378650,0.113844,0.128844,0.141735
3,0.340729,0.378673,0.113834,0.128847,0.141720
3,0.340748,0.378683,0.113835,0.128855,0.141718
3,0.340757,0.378717,0.113838,0.128859,0.141707
3,0.340747,0.378682,0.113833,0.128879,0.141700
3,0.340730,0.378653,0.113835,0.128896,0.141692
3,0.340752,0.378586,0.113850,0.128907,0.141691
3,0.340712,0.378537,0.113856,0.128904,0.141666
3,0.340703,0.378544,0.113850,0.128916,0.141640
3,0.340699,0.378526,0.113840,0.128931,0.141637
3,0.340749,0.378511,0.113858,0.128950,0.141647
3,0.340815,0.378498,0.113868,0.128938,0.141650
3,0.340882,0.378503,0.113863,0.128917,0.141640
3,0.340896,0.378516,0.113868,0.128916,0.141631
3,0.340958,0.378506,0.113876,0.128924,0.141633
3,0.340986,0.378513,0.113877,0.128908,0.141649
3,0.341006,0.378596,0.113891,0.128901,0.141616
3,0.340929,0.378705,0.113908,0.128922,0.141647
3,0.340779,0.378809,0.113918,0.128920,0.141633
3,0.340711,0.379042,0.113991,0.128927,0.141623
3,0.340697,0.379243,0.114039,0.128955,0.141629
3,0.340665,0.379356,0.114053,0.128948,0.141629
3,0.340656,0.379456,0.114046,0.128932,0.141603
3,0.340649,0.379474,0.114008,0.128897,0.141559
3,0.340623,0.379457,0.113993,0.128882,0.141531
3,0.340574,0.379441,0.113976,0.128895,0.141502
3,0.340616,0.379393,0.113904,0.128893,0.141476
3,0.340599,0.379373,0.113882,0.128868,0.141493
3,0.340637,0.379364,0.113864,0.128842,0.141466
3,0.340720,0.379403,0.113863,0.128841,0.141463
3,0.340808,0.379439,0.113860,0.128821,0.141470
3,0.340868,0.379475,0.113863,0.128819,0.141528
3,0.340977,0.379488,0.113909,0.128841,0.141530
3,0.341014,0.379516,0.113921,0.128848,0.141508
3,0.341029,0.379532,0.113922,0.128828,0.141487
3,0.340964,0.379550,0.113986,0.128832,0.141507
3,0.340931,0.379531,0.114041,0.128834,0.141505
3,0.340855,0.379550,0.114083,0.128829,0.141498
3,0.340799,0.379504,0.114101,0.128826,0.141512
3,0.340767,0.379442,0.114132,0.128848,0.141532
3,0.340730,0.379385,0.114134,0.128852,0.141526
3,0.340707,0.379335,0.114139,0.128843,0.141527
