gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
9,0.186600,0.394202,0.421729,0.374844,0.338089
9,0.186458,0.393918,0.421476,0.374654,0.337653
9,0.186392,0.393856,0.421304,0.374408,0.337376
9,0.186212,0.393764,0.421085,0.374072,0.337158
9,0.186144,0.393674,0.420914,0.374008,0.337103
9,0.186022,0.393583,0.420781,0.373673,0.336943
9,0.185985,0.393457,0.420637,0.373444,0.336730
9,0.185935,0.393391,0.420566,0.373110,0.336566
9,0.185847,0.393350,0.420540,0.373054,0.336518
9,0.185758,0.393369,0.420537,0.373052,0.336505
9,0.185724,0.393445,0.420550,0.373073,0.336502
9,0.185720,0.393495,0.420558,0.373087,0.336502
9,0.185696,0.393548,0.420595,0.373153,0.336572
9,0.185660,0.393636,0.420650,0.373395,0.336632
9,0.185575,0.393698,0.420688,0.373439,0.336628
9,0.185507,0.393764,0.420742,0.373553,0.336665
9,0.185414,0.393817,0.420800,0.373639,0.336692
9,0.185335,0.393853,0.420869,0.373708,0.336709
9,0.185295,0.393926,0.420983,0.373816,0.336736
9,0.185292,0.393985,0.421059,0.374007,0.336805
9,0.185289,0.394048,0.421162,0.374257,0.336863
9,0.185265,0.394150,0.421259,0.374419,0.336943
9,0.185292,0.394293,0.421366,0.374475,0.337035
9,0.185321,0.394374,0.421413,0.374536,0.337092
9,0.185281,0.394428,0.421460,0.374741,0.337187
9,0.185277,0.394477,0.421518,0.374816,0.337280
9,0.185296,0.394549,0.421576,0.374966,0.337383
9,0.185296,0.394635,0.421708,0.375179,0.337479
9,0.185298,0.394786,0.421864,0.375279,0.337518
9,0.185313,0.394988,0.422061,0.375336,0.337603
9,0.185320,0.395135,0.422173,0.375435,0.337653
9,0.185330,0.395282,0.422235,0.375472,0.337726
9,0.185346,0.395344,0.422298,0.375486,0.337779
9,0.185362,0.395402,0.422344,0.375472,0.337785
9,0.185367,0.395411,0.422345,0.375422,0.337765
9,0.185371,0.395410,0.422344,0.375405,0.337752
9,0.185415,0.395434,0.422378,0.375466,0.337787
9,0.185493,0.395438,0.422432,0.375371,0.337855
9,0.185565,0.395468,0.422486,0.375483,0.338020
9,0.185597,0.395483,0.422505,0.375532,0.338116
9,0.185626,0.395526,0.422519,0.375512,0.338181
9,0.185652,0.395540,0.422520,0.375511,0.338206
9,0.185680,0.395534,0.422512,0.375390,0.338220
9,0.185704,0.395540,0.422507,0.375330,0.338258
9,0.185787,0.395571,0.422521,0.375299,0.338262
9,0.185872,0.395577,0.422533,0.375177,0.338209
9,0.185906,0.395558,0.422532,0.375082,0.338151
9,0.185950,0.395568,0.422534,0.374919,0.338120
9,0.185942,0.395582,0.422559,0.374818,0.338093
9,0.185953,0.395587,0.422559,0.374644,0.338042
9,0.185979,0.395578,0.422562,0.374436,0.337955
9,0.185996,0.395581,0.422557,0.374250,0.337877
9,0.185983,0.395578,0.422562,0.374230,0.337832
9,0.185976,0.395571,0.422590,0.374226,0.337813
9,0.185975,0.395511,0.422601,0.374347,0.337903
9,0.185952,0.395449,0.422596,0.374182,0.337832
9,0.185920,0.395396,0.422602,0.374111,0.337823
9,0.185937,0.395343,0.422594,0.374061,0.337808
9,0.185955,0.395333,0.422582,0.374033,0.337803
9,0.185967,0.395306,0.422571,0.373958,0.337776
9,0.185939,0.395298,0.422541,0.373731,0.337607
9,0.185911,0.395335,0.422535,0.373597,0.337529
9,0.185843,0.395353,0.422492,0.373447,0.337437
9,0.185804,0.395387,0.422480,0.373243,0.337366
9,0.185754,0.395441,0.422500,0.373147,0.337330
9,0.185724,0.395438,0.422487,0.372980,0.337342
9,0.185687,0.395492,0.422525,0.372919,0.337402
9,0.185671,0.395562,0.422586,0.372879,0.337449
9,0.185672,0.395595,0.422650,0.372844,0.337557
9,0.185643,0.395626,0.422672,0.372745,0.337596
9,0.185610,0.395661,0.422675,0.372744,0.337646
9,0.185583,0.395669,0.422671,0.372765,0.337682
9,0.185555,0.395655,0.422661,0.372791,0.337715
9,0.185533,0.395643,0.422676,0.372793,0.337733
9,0.185525,0.395628,0.422671,0.372843,0.337748
9,0.185542,0.395620,0.422667,0.372885,0.337740
9,0.185556,0.395599,0.422662,0.372839,0.337736
9,0.185548,0.395615,0.422705,0.372844,0.337760
9,0.185537,0.395627,0.422752,0.372841,0.337785
9,0.185531,0.395690,0.422799,0.372849,0.337793
9,0.185533,0.395740,0.422851,0.372881,0.337823
9,0.185537,0.395786,0.422902,0.372937,0.337851
9,0.185539,0.395870,0.422981,0.372956,0.337846
9,0.185565,0.396017,0.423029,0.373033,0.337932
9,0.185587,0.396191,0.423080,0.373056,0.338011
9,0.185635,0.396301,0.423150,0.373235,0.338149
9,0.185715,0.396386,0.423202,0.373332,0.338277
9,0.185790,0.396483,0.423210,0.373378,0.338339
9,0.185857,0.396547,0.423267,0.373510,0.338423
9,0.185912,0.396654,0.423330,0.373660,0.338490
9,0.185974,0.396801,0.423427,0.373979,0.338608
9,0.186017,0.396939,0.423473,0.374026,0.338650
9,0.186078,0.396989,0.423509,0.374129,0.338724
9,0.186135,0.397038,0.423605,0.374359,0.338829
9,0.186208,0.397068,0.423697,0.374653,0.338974
9,0.186267,0.397115,0.423756,0.374868,0.339065
9,0.186336,0.397140,0.423829,0.375200,0.339278
9,0.186391,0.397162,0.423890,0.375362,0.339413
9,0.186421,0.397178,0.423961,0.375504,0.339545
9,0.186454,0.397176,0.424014,0.375582,0.339644
9,0.186484,0.397179,0.424073,0.375699,0.339719
9,0.186511,0.397243,0.424134,0.375708,0.339761
9,0.186529,0.397366,0.424209,0.375553,0.339814
9,0.186560,0.397459,0.424263,0.375573,0.339848
9,0.186583,0.397534,0.424290,0.375552,0.339845
9,0.186560,0.397583,0.424304,0.375626,0.339844
9,0.186556,0.397616,0.424337,0.375773,0.339887
9,0.186542,0.397634,0.424337,0.375914,0.339954
9,0.186520,0.397640,0.424324,0.376221,0.340017
9,0.186496,0.397659,0.424329,0.376295,0.340097
9,0.186475,0.397620,0.424303,0.376617,0.340265
9,0.186455,0.397575,0.424300,0.376669,0.340349
9,0.186458,0.397552,0.424278,0.376485,0.340303
9,0.186460,0.397530,0.424272,0.376361,0.340244
9,0.186470,0.397482,0.424249,0.376250,0.340210
9,0.186497,0.397432,0.424200,0.376087,0.340156
9,0.186526,0.397420,0.424159,0.375858,0.340049
9,0.186547,0.397431,0.424192,0.375804,0.340026
9,0.186551,0.397455,0.424208,0.375798,0.340066
9,0.186597,0.397467,0.424259,0.375848,0.340082
9,0.186618,0.397548,0.424330,0.376000,0.340158
9,0.186650,0.397547,0.424367,0.376054,0.340158
9,0.186719,0.397552,0.424404,0.376029,0.340131
9,0.186748,0.397672,0.424422,0.376089,0.340120
9,0.186776,0.397717,0.424432,0.376215,0.340206
9,0.186797,0.397765,0.424435,0.376358,0.340253
9,0.186809,0.397785,0.424454,0.376518,0.340325
9,0.186838,0.397788,0.424431,0.376626,0.340360
9,0.186839,0.397796,0.424383,0.376450,0.340344
9,0.186843,0.397789,0.424356,0.376322,0.340324
9,0.186877,0.397790,0.424360,0.376093,0.340295
9,0.186930,0.397811,0.424374,0.375991,0.340211
9,0.186974,0.397840,0.424395,0.375937,0.340250
9,0.187007,0.397882,0.424419,0.375782,0.340239
9,0.187051,0.397935,0.424444,0.375480,0.340286
9,0.187075,0.398018,0.424470,0.375214,0.340322
9,0.187147,0.398035,0.424503,0.375062,0.340393
9,0.187211,0.397960,0.424486,0.375096,0.340460
