gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
6,0.340172,0.187311,0.167197,0.143411,0.189102
6,0.340150,0.181940,0.152483,0.141089,0.185511
6,0.340427,0.178840,0.147240,0.139132,0.184049
6,0.339501,0.176577,0.144504,0.137625,0.181747
6,0.339226,0.174942,0.143535,0.137130,0.179739
6,0.338288,0.174013,0.142504,0.136444,0.177613
6,0.338044,0.173327,0.141859,0.136144,0.176934
6,0.338108,0.172796,0.141529,0.135958,0.175922
6,0.338113,0.172579,0.141553,0.135735,0.175001
6,0.338249,0.172532,0.141542,0.135431,0.174351
6,0.338344,0.172193,0.141393,0.135088,0.173281
6,0.338229,0.171912,0.141172,0.134740,0.172582
6,0.338266,0.171948,0.141071,0.134500,0.172210
6,0.338376,0.172070,0.141024,0.134376,0.171966
6,0.338488,0.172127,0.140954,0.134266,0.171789
6,0.338575,0.172067,0.140876,0.134195,0.171522
6,0.338630,0.172060,0.140761,0.134163,0.171516
6,0.338570,0.172175,0.140550,0.134092,0.171525
6,0.338146,0.172221,0.140266,0.133979,0.171393
6,0.337857,0.172244,0.140073,0.133980,0.171966
6,0.337780,0.172503,0.140123,0.134168,0.172699
6,0.337793,0.172909,0.140144,0.134311,0.173453
6,0.337795,0.172963,0.140108,0.134461,0.173823
6,0.337734,0.173014,0.140023,0.134486,0.173923
6,0.337687,0.173050,0.140088,0.134467,0.173695
6,0.337524,0.173277,0.140308,0.134430,0.173239
6,0.337357,0.173438,0.140496,0.134430,0.173016
6,0.337150,0.173537,0.140621,0.134424,0.172952
6,0.336907,0.173509,0.140604,0.134348,0.172619
6,0.336729,0.173416,0.140550,0.134263,0.172348
6,0.336669,0.173346,0.140373,0.134155,0.172197
6,0.336548,0.173251,0.140230,0.133982,0.172012
6,0.336457,0.173216,0.140145,0.133868,0.171828
6,0.336260,0.173176,0.140062,0.133811,0.171952
6,0.336086,0.173204,0.139953,0.133767,0.172016
6,0.336057,0.173251,0.139844,0.133772,0.172185
6,0.336031,0.173247,0.139739,0.133794,0.172543
6,0.336023,0.173301,0.139723,0.133922,0.173037
6,0.335889,0.173387,0.139643,0.134069,0.173659
6,0.335834,0.173412,0.139585,0.134136,0.174161
6,0.335597,0.173506,0.139602,0.134258,0.174591
6,0.335441,0.173452,0.139605,0.134364,0.174544
6,0.335305,0.173418,0.139601,0.134443,0.174818
6,0.335172,0.173279,0.139510,0.134492,0.175009
6,0.335046,0.173100,0.139410,0.134491,0.175064
6,0.334890,0.172887,0.139291,0.134503,0.175209
6,0.334773,0.172662,0.139173,0.134543,0.175522
6,0.334748,0.172486,0.139080,0.134568,0.175835
6,0.334737,0.172198,0.138937,0.134551,0.175977
6,0.334494,0.172040,0.138767,0.134539,0.176196
6,0.334297,0.172001,0.138614,0.134504,0.176487
6,0.334261,0.172039,0.138586,0.134512,0.176832
6,0.334329,0.172083,0.138621,0.134558,0.177148
6,0.334359,0.172139,0.138646,0.134625,0.177362
6,0.334393,0.172230,0.138618,0.134678,0.177549
6,0.334341,0.172272,0.138580,0.134661,0.177631
6,0.334306,0.172277,0.138537,0.134649,0.177731
6,0.334287,0.172311,0.138572,0.134632,0.177642
6,0.334240,0.172366,0.138667,0.134633,0.177590
6,0.334157,0.172374,0.138715,0.134591,0.177454
6,0.334057,0.172412,0.138769,0.134565,0.177251
6,0.333966,0.172609,0.138905,0.134540,0.177183
6,0.333857,0.172671,0.138956,0.134507,0.177156
6,0.333850,0.172709,0.139066,0.134512,0.177143
6,0.333874,0.172764,0.139128,0.134500,0.177102
6,0.333866,0.172743,0.139158,0.134481,0.177147
6,0.333841,0.172729,0.139176,0.134476,0.177125
6,0.333838,0.172622,0.139189,0.134423,0.176872
6,0.333831,0.172488,0.139137,0.134388,0.176752
6,0.333787,0.172451,0.139134,0.134355,0.176672
6,0.333788,0.172445,0.139146,0.134351,0.176654
6,0.333830,0.172357,0.139145,0.134275,0.176492
6,0.333783,0.172432,0.139215,0.134259,0.176509
6,0.333870,0.172326,0.139262,0.134101,0.176225
6,0.333675,0.172285,0.139286,0.133992,0.176049
6,0.333534,0.172241,0.139336,0.133924,0.175889
6,0.333581,0.172292,0.139375,0.133868,0.175908
6,0.333516,0.172213,0.139463,0.133841,0.175859
6,0.333575,0.172181,0.139562,0.133872,0.175910
6,0.333579,0.172116,0.139608,0.133866,0.175874
6,0.333597,0.172084,0.139705,0.133933,0.175877
6,0.333605,0.171992,0.139685,0.133960,0.175880
6,0.333613,0.172009,0.139699,0.134019,0.176143
6,0.333652,0.172212,0.139857,0.134205,0.176304
6,0.333739,0.172368,0.140050,0.134359,0.176562
6,0.333829,0.172401,0.140232,0.134451,0.176634
6,0.333890,0.172473,0.140307,0.134515,0.176818
6,0.333893,0.172527,0.140329,0.134563,0.176925
6,0.333936,0.172555,0.140416,0.134618,0.176896
6,0.333999,0.172571,0.140491,0.134616,0.176853
6,0.334062,0.172587,0.140602,0.134610,0.176750
6,0.334071,0.172569,0.140692,0.134618,0.176781
6,0.334042,0.172478,0.140769,0.134626,0.176863
6,0.334085,0.172383,0.140834,0.134621,0.176768
6,0.334157,0.172288,0.140899,0.134640,0.176771
6,0.334161,0.172140,0.140901,0.134629,0.176743
6,0.334100,0.172114,0.140892,0.134635,0.176735
6,0.333968,0.172055,0.140833,0.134623,0.176574
